"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"EGP_Ganzeboom","en","I","Higher Controllers",1,1
"EGP_Ganzeboom","en","II","Lower Controllers",2,2
"EGP_Ganzeboom","en","IIIa","Routine Nonmanual",3,3
"EGP_Ganzeboom","en","IIIb","Lower Sales-Service",4,4
"EGP_Ganzeboom","en","IVa","Selfempl with empl",5,5
"EGP_Ganzeboom","en","IVb","Selfempl no empl",6,6
"EGP_Ganzeboom","en","V","Manual Supervisors",7,7
"EGP_Ganzeboom","en","VI","Skilled Worker",8,8
"EGP_Ganzeboom","en","VIIa","Unskilled Worker",9,9
"EGP_Ganzeboom","en","VIIb","Farm Labor",10,10
"EGP_Ganzeboom","en","IVc","Selfempl Farmer",11,11
