"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-08_Ganzeboom","0","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","100","ISCO-88_Ganzeboom","3450","1",
"ISCO-08_Ganzeboom","110","ISCO-88_Ganzeboom","3450","1",
"ISCO-08_Ganzeboom","210","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","310","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","100","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","200","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","300","ISCO-88_Ganzeboom","3452","1",
"ISCO-08_Ganzeboom","1000","ISCO-88_Ganzeboom","1000","1",
"ISCO-08_Ganzeboom","1100","ISCO-88_Ganzeboom","1100","1",
"ISCO-08_Ganzeboom","1110","ISCO-88_Ganzeboom","1100","1",
"ISCO-08_Ganzeboom","1111","ISCO-88_Ganzeboom","1110","1",
"ISCO-08_Ganzeboom","1112","ISCO-88_Ganzeboom","1120","1",
"ISCO-08_Ganzeboom","1113","ISCO-88_Ganzeboom","1130","1",
"ISCO-08_Ganzeboom","1114","ISCO-88_Ganzeboom","1140","1",
"ISCO-08_Ganzeboom","1120","ISCO-88_Ganzeboom","1210","1",
"ISCO-08_Ganzeboom","1200","ISCO-88_Ganzeboom","1200","1",
"ISCO-08_Ganzeboom","1210","ISCO-88_Ganzeboom","1230","1",
"ISCO-08_Ganzeboom","1211","ISCO-88_Ganzeboom","1231","1",
"ISCO-08_Ganzeboom","1212","ISCO-88_Ganzeboom","1232","1",
"ISCO-08_Ganzeboom","1213","ISCO-88_Ganzeboom","1239","1",
"ISCO-08_Ganzeboom","1219","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1220","ISCO-88_Ganzeboom","1230","1",
"ISCO-08_Ganzeboom","1221","ISCO-88_Ganzeboom","1233","1",
"ISCO-08_Ganzeboom","1222","ISCO-88_Ganzeboom","1234","1",
"ISCO-08_Ganzeboom","1223","ISCO-88_Ganzeboom","1237","1",
"ISCO-08_Ganzeboom","1300","ISCO-88_Ganzeboom","1220","1",
"ISCO-08_Ganzeboom","1310","ISCO-88_Ganzeboom","1221","1",
"ISCO-08_Ganzeboom","1311","ISCO-88_Ganzeboom","1221","1",
"ISCO-08_Ganzeboom","1312","ISCO-88_Ganzeboom","1221","1",
"ISCO-08_Ganzeboom","1320","ISCO-88_Ganzeboom","1220","1",
"ISCO-08_Ganzeboom","1321","ISCO-88_Ganzeboom","1222","1",
"ISCO-08_Ganzeboom","1322","ISCO-88_Ganzeboom","1222","1",
"ISCO-08_Ganzeboom","1323","ISCO-88_Ganzeboom","1223","1",
"ISCO-08_Ganzeboom","1324","ISCO-88_Ganzeboom","1235","1",
"ISCO-08_Ganzeboom","1330","ISCO-88_Ganzeboom","1236","1",
"ISCO-08_Ganzeboom","1340","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1341","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1342","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1343","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1344","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1345","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1346","ISCO-88_Ganzeboom","1227","1",
"ISCO-08_Ganzeboom","1349","ISCO-88_Ganzeboom","1229","1",
"ISCO-08_Ganzeboom","1400","ISCO-88_Ganzeboom","1310","1",
"ISCO-08_Ganzeboom","1410","ISCO-88_Ganzeboom","1315","1",
"ISCO-08_Ganzeboom","1411","ISCO-88_Ganzeboom","1315","1",
"ISCO-08_Ganzeboom","1412","ISCO-88_Ganzeboom","1315","1",
"ISCO-08_Ganzeboom","1420","ISCO-88_Ganzeboom","1314","1",
"ISCO-08_Ganzeboom","1430","ISCO-88_Ganzeboom","1319","1",
"ISCO-08_Ganzeboom","1431","ISCO-88_Ganzeboom","1319","1",
"ISCO-08_Ganzeboom","1439","ISCO-88_Ganzeboom","1319","1",
"ISCO-08_Ganzeboom","2000","ISCO-88_Ganzeboom","2000","1",
"ISCO-08_Ganzeboom","2100","ISCO-88_Ganzeboom","2100","1",
"ISCO-08_Ganzeboom","2110","ISCO-88_Ganzeboom","2110","1",
"ISCO-08_Ganzeboom","2111","ISCO-88_Ganzeboom","2111","1",
"ISCO-08_Ganzeboom","2112","ISCO-88_Ganzeboom","2112","1",
"ISCO-08_Ganzeboom","2113","ISCO-88_Ganzeboom","2113","1",
"ISCO-08_Ganzeboom","2114","ISCO-88_Ganzeboom","2114","1",
"ISCO-08_Ganzeboom","2120","ISCO-88_Ganzeboom","2120","1",
"ISCO-08_Ganzeboom","2130","ISCO-88_Ganzeboom","2210","1",
"ISCO-08_Ganzeboom","2131","ISCO-88_Ganzeboom","2211","1",
"ISCO-08_Ganzeboom","2132","ISCO-88_Ganzeboom","2213","1",
"ISCO-08_Ganzeboom","2133","ISCO-88_Ganzeboom","2200","1",
"ISCO-08_Ganzeboom","2140","ISCO-88_Ganzeboom","2140","1",
"ISCO-08_Ganzeboom","2141","ISCO-88_Ganzeboom","2149","1",
"ISCO-08_Ganzeboom","2142","ISCO-88_Ganzeboom","2142","1",
"ISCO-08_Ganzeboom","2143","ISCO-88_Ganzeboom","2149","1",
"ISCO-08_Ganzeboom","2144","ISCO-88_Ganzeboom","2145","1",
"ISCO-08_Ganzeboom","2145","ISCO-88_Ganzeboom","2146","1",
"ISCO-08_Ganzeboom","2146","ISCO-88_Ganzeboom","2147","1",
"ISCO-08_Ganzeboom","2149","ISCO-88_Ganzeboom","2149","1",
"ISCO-08_Ganzeboom","2150","ISCO-88_Ganzeboom","2140","1",
"ISCO-08_Ganzeboom","2151","ISCO-88_Ganzeboom","2143","1",
"ISCO-08_Ganzeboom","2152","ISCO-88_Ganzeboom","2144","1",
"ISCO-08_Ganzeboom","2153","ISCO-88_Ganzeboom","2144","1",
"ISCO-08_Ganzeboom","2160","ISCO-88_Ganzeboom","2140","1",
"ISCO-08_Ganzeboom","2161","ISCO-88_Ganzeboom","2141","1",
"ISCO-08_Ganzeboom","2162","ISCO-88_Ganzeboom","2141","1",
"ISCO-08_Ganzeboom","2163","ISCO-88_Ganzeboom","3471","1",
"ISCO-08_Ganzeboom","2164","ISCO-88_Ganzeboom","2141","1",
"ISCO-08_Ganzeboom","2165","ISCO-88_Ganzeboom","2148","1",
"ISCO-08_Ganzeboom","2166","ISCO-88_Ganzeboom","3471","1",
"ISCO-08_Ganzeboom","2200","ISCO-88_Ganzeboom","2200","1",
"ISCO-08_Ganzeboom","2210","ISCO-88_Ganzeboom","2220","1",
"ISCO-08_Ganzeboom","2211","ISCO-88_Ganzeboom","2221","1",
"ISCO-08_Ganzeboom","2212","ISCO-88_Ganzeboom","2221","1",
"ISCO-08_Ganzeboom","2220","ISCO-88_Ganzeboom","2230","1",
"ISCO-08_Ganzeboom","2221","ISCO-88_Ganzeboom","2230","1",
"ISCO-08_Ganzeboom","2222","ISCO-88_Ganzeboom","2230","1",
"ISCO-08_Ganzeboom","2230","ISCO-88_Ganzeboom","3229","1",
"ISCO-08_Ganzeboom","2240","ISCO-88_Ganzeboom","3221","1",
"ISCO-08_Ganzeboom","2250","ISCO-88_Ganzeboom","2223","1",
"ISCO-08_Ganzeboom","2260","ISCO-88_Ganzeboom","3210","1",
"ISCO-08_Ganzeboom","2261","ISCO-88_Ganzeboom","2222","1",
"ISCO-08_Ganzeboom","2262","ISCO-88_Ganzeboom","2224","1",
"ISCO-08_Ganzeboom","2263","ISCO-88_Ganzeboom","2229","1",
"ISCO-08_Ganzeboom","2264","ISCO-88_Ganzeboom","3226","1",
"ISCO-08_Ganzeboom","2265","ISCO-88_Ganzeboom","3223","1",
"ISCO-08_Ganzeboom","2266","ISCO-88_Ganzeboom","3229","1",
"ISCO-08_Ganzeboom","2267","ISCO-88_Ganzeboom","3224","1",
