"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-08_Ganzeboom","0","SIOPS","42.88",1,
"ISCO-08_Ganzeboom","100","SIOPS","48.68",1,
"ISCO-08_Ganzeboom","110","SIOPS","48.68",1,
"ISCO-08_Ganzeboom","200","SIOPS","39",1,
"ISCO-08_Ganzeboom","210","SIOPS","39",1,
"ISCO-08_Ganzeboom","300","SIOPS","43.23",1,
"ISCO-08_Ganzeboom","310","SIOPS","43.23",1,
"ISCO-08_Ganzeboom","1000","SIOPS","48.87",1,
"ISCO-08_Ganzeboom","1100","SIOPS","64.92",1,
"ISCO-08_Ganzeboom","1110","SIOPS","65.38",1,
"ISCO-08_Ganzeboom","1111","SIOPS","64",1,
"ISCO-08_Ganzeboom","1112","SIOPS","66.84",1,
"ISCO-08_Ganzeboom","1113","SIOPS","42",1,
"ISCO-08_Ganzeboom","1114","SIOPS","54.88",1,
"ISCO-08_Ganzeboom","1120","SIOPS","64.51",1,
"ISCO-08_Ganzeboom","1200","SIOPS","56.6",1,
"ISCO-08_Ganzeboom","1210","SIOPS","53.28",1,
"ISCO-08_Ganzeboom","1211","SIOPS","49",1,
"ISCO-08_Ganzeboom","1212","SIOPS","58",1,
"ISCO-08_Ganzeboom","1213","SIOPS","53.28",1,
"ISCO-08_Ganzeboom","1219","SIOPS","53.28",1,
"ISCO-08_Ganzeboom","1220","SIOPS","54.61",1,
"ISCO-08_Ganzeboom","1221","SIOPS","52",1,
"ISCO-08_Ganzeboom","1222","SIOPS","52.36",1,
"ISCO-08_Ganzeboom","1223","SIOPS","52.36",1,
"ISCO-08_Ganzeboom","1300","SIOPS","61.15",1,
"ISCO-08_Ganzeboom","1310","SIOPS","61.15",1,
"ISCO-08_Ganzeboom","1311","SIOPS","61.15",1,
"ISCO-08_Ganzeboom","1312","SIOPS","61.15",1,
"ISCO-08_Ganzeboom","1320","SIOPS","60.67",1,
"ISCO-08_Ganzeboom","1321","SIOPS","64",1,
"ISCO-08_Ganzeboom","1322","SIOPS","60.67",1,
"ISCO-08_Ganzeboom","1323","SIOPS","53",1,
"ISCO-08_Ganzeboom","1324","SIOPS","57.21",1,
"ISCO-08_Ganzeboom","1330","SIOPS","61.15",1,
"ISCO-08_Ganzeboom","1340","SIOPS","73.51",1,
"ISCO-08_Ganzeboom","1341","SIOPS","73.51",1,
"ISCO-08_Ganzeboom","1342","SIOPS","73.51",1,
