"ConceptScheme","labelStyle","Concept","prefLabel","sortorder"
"ISCO-08_ILO","en","1","Managers",1
"ISCO-08_ILO","en","11","Chief Executives, Senior Officials and Legislators",2
"ISCO-08_ILO","en","111","Legislators and Senior Officials",3
"ISCO-08_ILO","en","1111","Legislators",4
"ISCO-08_ILO","en","1112","Senior Government Officials",5
"ISCO-08_ILO","en","1113","Traditional Chiefs and Heads of Villages",6
"ISCO-08_ILO","en","1114","Senior Officials of Special-interest Organizations",7
"ISCO-08_ILO","en","112","Managing Directors and Chief Executives",8
"ISCO-08_ILO","en","1120","Managing Directors and Chief Executives",9
"ISCO-08_ILO","en","12","Administrative and Commercial Managers",10
"ISCO-08_ILO","en","121","Business Services and Administration Managers",11
"ISCO-08_ILO","en","1211","Finance Managers",12
"ISCO-08_ILO","en","1212","Human Resource Managers",13
"ISCO-08_ILO","en","1213","Policy and Planning Managers",14
"ISCO-08_ILO","en","1219","Business Services and Administration Managers Not Elsewhere Classified",15
"ISCO-08_ILO","en","122","Sales, Marketing and Development Managers",16
"ISCO-08_ILO","en","1221","Sales and Marketing Managers",17
"ISCO-08_ILO","en","1222","Advertising and Public Relations Managers",18
"ISCO-08_ILO","en","1223","Research and Development Managers",19
"ISCO-08_ILO","en","13","Production and Specialized Services Managers",20
"ISCO-08_ILO","en","131","Production Managers in Agriculture, Forestry and Fisheries",21
"ISCO-08_ILO","en","1311","Agricultural and Forestry Production Managers",22
"ISCO-08_ILO","en","1312","Aquaculture and Fisheries Production Managers",23
"ISCO-08_ILO","en","132","Manufacturing, Mining, Construction and Distribution Managers",24
"ISCO-08_ILO","en","1321","Manufacturing Managers",25
"ISCO-08_ILO","en","1322","Mining Managers",26
"ISCO-08_ILO","en","1323","Construction Managers",27
"ISCO-08_ILO","en","1324","Supply, Distribution and Related Managers",28
"ISCO-08_ILO","en","133","Information and Communications Technology Services Managers",29
"ISCO-08_ILO","en","1330","Information and Communications Technology Services Managers",30
"ISCO-08_ILO","en","134","Professional Services Managers",31
"ISCO-08_ILO","en","1341","Child Care Services Managers",32
"ISCO-08_ILO","en","1342","Health Services Managers",33
"ISCO-08_ILO","en","1343","Aged Care Services Managers",34
"ISCO-08_ILO","en","1344","Social Welfare Managers",35
"ISCO-08_ILO","en","1345","Education Managers",36
"ISCO-08_ILO","en","1346","Financial and Insurance Services Branch Managers",37
"ISCO-08_ILO","en","1349","Professional Services Managers Not Elsewhere Classified",38
"ISCO-08_ILO","en","14","Hospitality, Retail and Other Services Managers",39
"ISCO-08_ILO","en","141","Hotel and Restaurant Managers",40
"ISCO-08_ILO","en","1411","Hotel Managers",41
"ISCO-08_ILO","en","1412","Restaurant Managers",42
"ISCO-08_ILO","en","142","Retail and Wholesale Trade Managers",43
"ISCO-08_ILO","en","1420","Retail and Wholesale Trade Managers",44
"ISCO-08_ILO","en","143","Other Services Managers",45
"ISCO-08_ILO","en","1431","Sports, Recreation and Cultural Centre Managers",46
