"ConceptScheme ","labelStyle ","Concept ","prefLabel ","sortorder ","prefValue"
"ISCO-08_infas","de",-8,"Frage in diesem Jahr nicht Teil des Frageprogramms",1,-8
"ISCO-08_infas","de",-7,"nur in weniger eingeschränkter Edition verfügbar",2,-7
"ISCO-08_infas","de",-6,"Fragebogenversion mit geänderter Filterführung",3,-6
"ISCO-08_infas","de",-5,"in Fragebogenversion nicht enthalten",4,-5
"ISCO-08_infas","de",-4,"unzulässige Mehrfachantwort",5,-4
"ISCO-08_infas","de",-3,"unplausibler Wert",6,-3
"ISCO-08_infas","de",-2,"trifft nicht zu",7,-2
"ISCO-08_infas","de",-1,"keine Angabe/weiß nicht",8,-1
"ISCO-08_infas","de",3,"arbeitssuchend",9,3
"ISCO-08_infas","de",5,"in der Ausbildung (schulische)",10,5
"ISCO-08_infas","de",6,"Hausfrau",11,6
"ISCO-08_infas","de",7,"Rentner",12,7
"ISCO-08_infas","de",8,"weiß nicht",13,8
"ISCO-08_infas","de",9,"keine Angabe",14,9
"ISCO-08_infas","de",110,"Offiziere in regulären Streitkräften",15,110
"ISCO-08_infas","de",210,"Unteroffiziere in regulären Streitkräften",16,210
"ISCO-08_infas","de",310,"Angehörige der regulären Streitkräfte in sonstigen Rängen",17,310
"ISCO-08_infas","de",410,"Soldat/Berufssoldat o.n.A. (-> ISCO 08)",18,410
"ISCO-08_infas","de",1000,"Führungskräfte",19,1000
"ISCO-08_infas","de",1100,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften",20,1100
"ISCO-08_infas","de",1110,"Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete",21,1110
"ISCO-08_infas","de",1111,"Angehörige gesetzgebender Körperschaften",22,1111
"ISCO-08_infas","de",1112,"Leitende Verwaltungsbedienstete",23,1112
"ISCO-08_infas","de",1113,"Traditionelle Dorf- und Stammeshäuptlinge",24,1113
"ISCO-08_infas","de",1114,"Leitende Bedienstete von Interessenorganisationen",25,1114
"ISCO-08_infas","de",1120,"Geschäftsführer und Vorstände",26,1120
"ISCO-08_infas","de",1200,"Führungskräfte im kaufmännischen Bereich",27,1200
"ISCO-08_infas","de",1210,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen",28,1210
"ISCO-08_infas","de",1211,"Führungskräfte im Bereich Finanzen",29,1211
"ISCO-08_infas","de",1212,"Führungskräfte im Personalwesen",30,1212
"ISCO-08_infas","de",1213,"Führungskräfte in Unternehmenspolitik und -planung",31,1213
"ISCO-08_infas","de",1219,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",32,1219
"ISCO-08_infas","de",1220,"Führungskräfte in Vertrieb, Marketing und Entwicklung",33,1220
"ISCO-08_infas","de",1221,"Führungskräfte in Vertrieb und Marketing",34,1221
"ISCO-08_infas","de",1222,"Führungskräfte in Werbung und Öffentlichkeitsarbeit",35,1222
"ISCO-08_infas","de",1223,"Führungskräfte in Forschung und Entwicklung",36,1223
"ISCO-08_infas","de",1300,"Führungskräfte in der Produktion und bei speziellen Dienstleistungen",37,1300
"ISCO-08_infas","de",1310,"Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei",38,1310
"ISCO-08_infas","de",1311,"Führungskräfte in der Produktion in Land- und Forstwirtschaft",39,1311
"ISCO-08_infas","de",1312,"Führungskräfte in der Produktion in Aquakultur und Fischerei",40,1312
"ISCO-08_infas","de",1320,"Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik",41,1320
"ISCO-08_infas","de",1321,"Führungskräfte in der Produktion bei der Herstellung von Waren",42,1321
"ISCO-08_infas","de",1322,"Führungskräfte in der Produktion im Bergbau",43,1322
"ISCO-08_infas","de",1323,"Führungskräfte in der Produktion im Bau",44,1323
"ISCO-08_infas","de",1324,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",45,1324
"ISCO-08_infas","de",1330,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie",46,1330
"ISCO-08_infas","de",1340,"Führungskräfte in der Erbringung von speziellen Dienstleistungen",47,1340
"ISCO-08_infas","de",1341,"Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung",48,1341
"ISCO-08_infas","de",1342,"Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen",49,1342
"ISCO-08_infas","de",1343,"Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung",50,1343
"ISCO-08_infas","de",1344,"Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge",51,1344
"ISCO-08_infas","de",1345,"Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens",52,1345
"ISCO-08_infas","de",1346,"Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen",53,1346
"ISCO-08_infas","de",1349,"Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt",54,1349
"ISCO-08_infas","de",1400,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen",55,1400
"ISCO-08_infas","de",1410,"Führungskräfte in Hotels und Restaurants",56,1410
"ISCO-08_infas","de",1411,"Führungskräfte in Hotels",57,1411
"ISCO-08_infas","de",1412,"Führungskräfte in Restaurants",58,1412
"ISCO-08_infas","de",1420,"Führungskräfte in Groß- und Einzelhandel",59,1420
"ISCO-08_infas","de",1430,"Führungskräfte in der Erbringung sonstiger Dienstleistungen",60,1430
"ISCO-08_infas","de",1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",61,1431
"ISCO-08_infas","de",1439,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",62,1439
"ISCO-08_infas","de",2000,"Akademische Berufe",63,2000
"ISCO-08_infas","de",2100,"Naturwissenschaftler, Mathematiker und Ingenieure",64,2100
"ISCO-08_infas","de",2110,"Physiker, Chemiker, Geologen und verwandte Berufe",65,2110
"ISCO-08_infas","de",2111,"Physiker und Astronomen",66,2111
"ISCO-08_infas","de",2112,"Meteorologen",67,2112
"ISCO-08_infas","de",2113,"Chemiker",68,2113
"ISCO-08_infas","de",2114,"Geologen und Geophysiker",69,2114
"ISCO-08_infas","de",2120,"Mathematiker, Versicherungsmathematiker und Statistiker",70,2120
"ISCO-08_infas","de",2130,"Biowissenschaftler",71,2130
"ISCO-08_infas","de",2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",72,2131
"ISCO-08_infas","de",2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",73,2132
"ISCO-08_infas","de",2133,"Umweltwissenschaftler",74,2133
"ISCO-08_infas","de",2140,"Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)",75,2140
"ISCO-08_infas","de",2141,"Wirtschafts- und Produktionsingenieure",76,2141
"ISCO-08_infas","de",2142,"Bauingenieure",77,2142
"ISCO-08_infas","de",2143,"Umweltschutzingenieure",78,2143
"ISCO-08_infas","de",2144,"Maschinenbauingenieure",79,2144
"ISCO-08_infas","de",2145,"Chemieingenieure",80,2145
"ISCO-08_infas","de",2146,"Bergbauingenieure, Metallurgen und verwandte Berufe",81,2146
"ISCO-08_infas","de",2149,"Ingenieure, anderweitig nicht genannt",82,2149
"ISCO-08_infas","de",2150,"Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik",83,2150
"ISCO-08_infas","de",2151,"Ingenieure im Bereich Elektrotechnik",84,2151
"ISCO-08_infas","de",2152,"Ingenieure im Bereich Elektronik",85,2152
"ISCO-08_infas","de",2153,"Ingenieure im Bereich Telekommunikationstechnik",86,2153
"ISCO-08_infas","de",2160,"Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer",87,2160
"ISCO-08_infas","de",2161,"Architekten",88,2161
"ISCO-08_infas","de",2162,"Landschaftsarchitekten",89,2162
"ISCO-08_infas","de",2163,"Produkt- und Textildesigner",90,2163
"ISCO-08_infas","de",2164,"Raum-, Stadt- und Verkehrsplaner",91,2164
"ISCO-08_infas","de",2165,"Kartografen und Vermessungsingenieure",92,2165
"ISCO-08_infas","de",2166,"Grafik- und Multimediadesigner",93,2166
"ISCO-08_infas","de",2200,"Akademische und verwandte Gesundheitsberufe",94,2200
"ISCO-08_infas","de",2210,"Ärzte",95,2210
"ISCO-08_infas","de",2211,"Allgemeinärzte",96,2211
"ISCO-08_infas","de",2212,"Fachärzte",97,2212
"ISCO-08_infas","de",2220,"Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte",98,2220
"ISCO-08_infas","de",2221,"Akademische und vergleichbare Krankenpflegefachkräfte",99,2221
"ISCO-08_infas","de",2222,"Akademische und vergleichbare Geburtshilfefachkräfte",100,2222
"ISCO-08_infas","de",2230,"Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin",101,2230
"ISCO-08_infas","de",2240,"Feldscher und vergleichbare paramedizinische Praktiker",102,2240
"ISCO-08_infas","de",2250,"Tierärzte",103,2250
"ISCO-08_infas","de",2260,"Sonstige akademische und verwandte Gesundheitsberufe",104,2260
"ISCO-08_infas","de",2261,"Zahnärzte",105,2261
"ISCO-08_infas","de",2262,"Apotheker",106,2262
"ISCO-08_infas","de",2263,"Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene",107,2263
"ISCO-08_infas","de",2264,"Physiotherapeuten",108,2264
"ISCO-08_infas","de",2265,"Diätologen und Ernährungsberater",109,2265
"ISCO-08_infas","de",2266,"Audiologen und Sprachtherapeuten",110,2266
"ISCO-08_infas","de",2267,"Optometristen und Orthoptisten",111,2267
"ISCO-08_infas","de",2269,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt",112,2269
"ISCO-08_infas","de",2300,"Lehrkräfte",113,2300
"ISCO-08_infas","de",2310,"Universitäts- und Hochschullehrer",114,2310
"ISCO-08_infas","de",2320,"Lehrkräfte im Bereich Berufsbildung",115,2320
"ISCO-08_infas","de",2330,"Lehrkräfte im Sekundarbereich",116,2330
"ISCO-08_infas","de",2340,"Lehrkräfte im Primar- und Vorschulbereich",117,2340
"ISCO-08_infas","de",2341,"Lehrkräfte im Primarbereich",118,2341
"ISCO-08_infas","de",2342,"Lehrkräfte und Erzieher im Vorschulbereich",119,2342
"ISCO-08_infas","de",2350,"Sonstige Lehrkräfte",120,2350
"ISCO-08_infas","de",2351,"Pädagogik- und Didaktikspezialisten",121,2351
"ISCO-08_infas","de",2352,"Lehrkräfte im Bereich Sonderpädagogik",122,2352
"ISCO-08_infas","de",2353,"Sonstige Sprachlehrer",123,2353
"ISCO-08_infas","de",2354,"Sonstige Musiklehrer",124,2354
"ISCO-08_infas","de",2355,"Sonstige Kunstlehrer",125,2355
"ISCO-08_infas","de",2356,"Ausbilder im Bereich Informationstechnologie",126,2356
"ISCO-08_infas","de",2359,"Lehrkräfte, anderweitig nicht genannt",127,2359
"ISCO-08_infas","de",2400,"Betriebswirte und vergleichbare akademische Berufe",128,2400
"ISCO-08_infas","de",2410,"Akademische und vergleichbare Fachkräfte im Bereich Finanzen",129,2410
"ISCO-08_infas","de",2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",130,2411
"ISCO-08_infas","de",2412,"Finanz- und Anlageberater",131,2412
"ISCO-08_infas","de",2413,"Finanzanalysten",132,2413
"ISCO-08_infas","de",2420,"Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung",133,2420
"ISCO-08_infas","de",2421,"Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse",134,2421
"ISCO-08_infas","de",2422,"Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft",135,2422
"ISCO-08_infas","de",2423,"Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute",136,2423
"ISCO-08_infas","de",2424,"Fachkräfte in Personalschulung und -entwicklung",137,2424
"ISCO-08_infas","de",2430,"Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit",138,2430
"ISCO-08_infas","de",2431,"Akademische und vergleichbare Fachkräfte in Werbung und Marketing",139,2431
"ISCO-08_infas","de",2432,"Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit",140,2432
"ISCO-08_infas","de",2433,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",141,2433
"ISCO-08_infas","de",2434,"Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie",142,2434
"ISCO-08_infas","de",2500,"Akademische und vergleichbare Fachkräfte in der Informations- und Kommunikationstechnologie",143,2500
"ISCO-08_infas","de",2510,"Entwickler und Analytiker von Software und Anwendungen",144,2510
"ISCO-08_infas","de",2511,"Systemanalytiker",145,2511
"ISCO-08_infas","de",2512,"Softwareentwickler",146,2512
"ISCO-08_infas","de",2513,"Web- und Multimediaentwickler",147,2513
"ISCO-08_infas","de",2514,"Anwendungsprogrammierer",148,2514
"ISCO-08_infas","de",2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",149,2519
"ISCO-08_infas","de",2520,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke",150,2520
"ISCO-08_infas","de",2521,"Datenbankentwickler und -administratoren",151,2521
"ISCO-08_infas","de",2522,"Systemadministratoren",152,2522
"ISCO-08_infas","de",2523,"Akademische und vergleichbare Fachkräfte für Computernetzwerke",153,2523
"ISCO-08_infas","de",2529,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",154,2529
"ISCO-08_infas","de",2600,"Juristen, Sozialwissenschaftler und Kulturberufe",155,2600
"ISCO-08_infas","de",2610,"Juristen",156,2610
"ISCO-08_infas","de",2611,"Anwälte",157,2611
"ISCO-08_infas","de",2612,"Richter",158,2612
"ISCO-08_infas","de",2619,"Juristen, anderweitig nicht genannt",159,2619
"ISCO-08_infas","de",2620,"Archiv-, Bibliotheks- und Museumswissenschaftler",160,2620
"ISCO-08_infas","de",2621,"Archiv- und Museumswissenschaftler",161,2621
"ISCO-08_infas","de",2622,"Bibliothekswissenschaftler und verwandte Informationswissenschaftler",162,2622
"ISCO-08_infas","de",2630,"Sozialwissenschaftler, Geistliche und Seelsorger",163,2630
"ISCO-08_infas","de",2631,"Volkswirtschaftler",164,2631
"ISCO-08_infas","de",2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",165,2632
"ISCO-08_infas","de",2633,"Philosophen, Historiker und Politologen",166,2633
"ISCO-08_infas","de",2634,"Psychologen",167,2634
"ISCO-08_infas","de",2635,"Sozialarbeiter",168,2635
"ISCO-08_infas","de",2636,"Geistliche, Seelsorger",169,2636
"ISCO-08_infas","de",2640,"Autoren, Journalisten und Linguisten",170,2640
"ISCO-08_infas","de",2641,"Autoren und verwandte schriftstellerische Berufe",171,2641
"ISCO-08_infas","de",2642,"Journalisten",172,2642
