"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-08_Kantar","110","ISCO-08_ILO","110",1,
"ISCO-08_Kantar","210","ISCO-08_ILO","210",1,
"ISCO-08_Kantar","310","ISCO-08_ILO","310",1,
"ISCO-08_Kantar","1111","ISCO-08_ILO","1111",1,
"ISCO-08_Kantar","1112","ISCO-08_ILO","1112",1,
"ISCO-08_Kantar","1113","ISCO-08_ILO","1113",1,
"ISCO-08_Kantar","1114","ISCO-08_ILO","1114",1,
"ISCO-08_Kantar","1120","ISCO-08_ILO","1120",1,
"ISCO-08_Kantar","1211","ISCO-08_ILO","1211",1,
"ISCO-08_Kantar","1212","ISCO-08_ILO","1212",1,
"ISCO-08_Kantar","1213","ISCO-08_ILO","1213",1,
"ISCO-08_Kantar","1219","ISCO-08_ILO","1219",1,
"ISCO-08_Kantar","1221","ISCO-08_ILO","1221",1,
"ISCO-08_Kantar","1222","ISCO-08_ILO","1222",1,
"ISCO-08_Kantar","1223","ISCO-08_ILO","1223",1,
"ISCO-08_Kantar","1311","ISCO-08_ILO","1311",1,
"ISCO-08_Kantar","1312","ISCO-08_ILO","1312",1,
"ISCO-08_Kantar","1321","ISCO-08_ILO","1321",1,
"ISCO-08_Kantar","1322","ISCO-08_ILO","1322",1,
"ISCO-08_Kantar","1323","ISCO-08_ILO","1323",1,
"ISCO-08_Kantar","1324","ISCO-08_ILO","1324",1,
"ISCO-08_Kantar","1330","ISCO-08_ILO","1330",1,
"ISCO-08_Kantar","1341","ISCO-08_ILO","1341",1,
"ISCO-08_Kantar","1342","ISCO-08_ILO","1342",1,
"ISCO-08_Kantar","1343","ISCO-08_ILO","1343",1,
"ISCO-08_Kantar","1344","ISCO-08_ILO","1344",1,
"ISCO-08_Kantar","1345","ISCO-08_ILO","1345",1,
"ISCO-08_Kantar","1346","ISCO-08_ILO","1346",1,
"ISCO-08_Kantar","1349","ISCO-08_ILO","1349",1,
"ISCO-08_Kantar","1411","ISCO-08_ILO","1411",1,
"ISCO-08_Kantar","1412","ISCO-08_ILO","1412",1,
"ISCO-08_Kantar","1420","ISCO-08_ILO","1420",1,
"ISCO-08_Kantar","1431","ISCO-08_ILO","1431",1,
"ISCO-08_Kantar","1439","ISCO-08_ILO","1439",1,
"ISCO-08_Kantar","2111","ISCO-08_ILO","2111",1,
"ISCO-08_Kantar","2112","ISCO-08_ILO","2112",1,
"ISCO-08_Kantar","2113","ISCO-08_ILO","2113",1,
"ISCO-08_Kantar","2114","ISCO-08_ILO","2114",1,
"ISCO-08_Kantar","2120","ISCO-08_ILO","2120",1,
"ISCO-08_Kantar","2131","ISCO-08_ILO","2131",1,
"ISCO-08_Kantar","2132","ISCO-08_ILO","2132",1,
"ISCO-08_Kantar","2133","ISCO-08_ILO","2133",1,
"ISCO-08_Kantar","2141","ISCO-08_ILO","2141",1,
"ISCO-08_Kantar","2142","ISCO-08_ILO","2142",1,
"ISCO-08_Kantar","2143","ISCO-08_ILO","2143",1,
"ISCO-08_Kantar","2144","ISCO-08_ILO","2144",1,
"ISCO-08_Kantar","2145","ISCO-08_ILO","2145",1,
"ISCO-08_Kantar","2146","ISCO-08_ILO","2146",1,
"ISCO-08_Kantar","2149","ISCO-08_ILO","2149",1,
"ISCO-08_Kantar","2151","ISCO-08_ILO","2151",1,
"ISCO-08_Kantar","2152","ISCO-08_ILO","2152",1,
"ISCO-08_Kantar","2153","ISCO-08_ILO","2153",1,
"ISCO-08_Kantar","2161","ISCO-08_ILO","2161",1,
"ISCO-08_Kantar","2162","ISCO-08_ILO","2162",1,
"ISCO-08_Kantar","2163","ISCO-08_ILO","2163",1,
"ISCO-08_Kantar","2164","ISCO-08_ILO","2164",1,
"ISCO-08_Kantar","2165","ISCO-08_ILO","2165",1,
"ISCO-08_Kantar","2166","ISCO-08_ILO","2166",1,
"ISCO-08_Kantar","2211","ISCO-08_ILO","2211",1,
"ISCO-08_Kantar","2212","ISCO-08_ILO","2212",1,
"ISCO-08_Kantar","2221","ISCO-08_ILO","2221",1,
"ISCO-08_Kantar","2222","ISCO-08_ILO","2222",1,
"ISCO-08_Kantar","2230","ISCO-08_ILO","2230",1,
"ISCO-08_Kantar","2240","ISCO-08_ILO","2240",1,
