"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-08_Kantar","de","110","Offiziere, reguläre Streitkräfte",1,110
"ISCO-08_Kantar","de","210","Unteroffiziere, reguläre Streitkräfte",2,210
"ISCO-08_Kantar","de","310","Reguläre Streitkräfte, sonstige Ränge",3,310
"ISCO-08_Kantar","de","1111","Angehörige gesetzgebender Körperschaften",4,1111
"ISCO-08_Kantar","de","1112","Leitende Verwaltungsbedienstete",5,1112
"ISCO-08_Kantar","de","1113","Traditionelle Dorf-/Stammeshäuptlinge",6,1113
"ISCO-08_Kantar","de","1114","Leitende Bedienstete, Interessenorg.",7,1114
"ISCO-08_Kantar","de","1120","Geschäftsführer/-innen, Vorstände",8,1120
"ISCO-08_Kantar","de","1211","Führungskräfte, Finanzen",9,1211
"ISCO-08_Kantar","de","1212","Führungskräfte, Personalwesen",10,1212
"ISCO-08_Kantar","de","1213","Führungskräfte, Unternehmenspolitik",11,1213
"ISCO-08_Kantar","de","1219","Führungskräfte, betriebliche Verwaltung",12,1219
"ISCO-08_Kantar","de","1221","Führungskräfte, Vertrieb/Marketing",13,1221
"ISCO-08_Kantar","de","1222","Führungskräfte, Öffentlichkeitsarbeit",14,1222
"ISCO-08_Kantar","de","1223","Führungskräfte, Forschung/Entwicklung",15,1223
"ISCO-08_Kantar","de","1311","Führungskräfte, Land-/Forstwirtschaft",16,1311
"ISCO-08_Kantar","de","1312","Führungskräfte, Aquakultur/Fischerei",17,1312
"ISCO-08_Kantar","de","1321","Führungskräfte, Herst. v. Waren",18,1321
"ISCO-08_Kantar","de","1322","Führungskräfte, Bergbau",19,1322
"ISCO-08_Kantar","de","1323","Führungskräfte, Bau",20,1323
"ISCO-08_Kantar","de","1324","Führungskräfte, Beschaffung/Logistik",21,1324
"ISCO-08_Kantar","de","1330","Führungskräfte, Informationstechnologie",22,1330
"ISCO-08_Kantar","de","1341","Führungskräfte, Kinderbetreuung",23,1341
"ISCO-08_Kantar","de","1342","Führungskräfte, Gesundheitswesen",24,1342
"ISCO-08_Kantar","de","1343","Führungskräfte, Altenbetreuung",25,1343
"ISCO-08_Kantar","de","1344","Führungskräfte, Sozialfürsorge",26,1344
"ISCO-08_Kantar","de","1345","Führungskräfte, Bildungswesen",27,1345
"ISCO-08_Kantar","de","1346","Führungskräfte, Finanzdienstl.",28,1346
"ISCO-08_Kantar","de","1349","Führungskräfte, sonst. Dienstl. a.n.g.",29,1349
"ISCO-08_Kantar","de","1411","Führungskräfte, Hotels",30,1411
"ISCO-08_Kantar","de","1412","Führungskräfte, Restaurants",31,1412
"ISCO-08_Kantar","de","1420","Führungskräfte, Groß-/Einzelhandel",32,1420
"ISCO-08_Kantar","de","1431","Führungskräfte, Sport/Erholung/Kultur",33,1431
"ISCO-08_Kantar","de","1439","Führungskräfte, Dienstl. a.n.g.",34,1439
"ISCO-08_Kantar","de","2111","Physiker/-innen u. Astronomen/-innen",35,2111
"ISCO-08_Kantar","de","2112","Meteorologen/-innen",36,2112
"ISCO-08_Kantar","de","2113","Chemiker/-innen",37,2113
"ISCO-08_Kantar","de","2114","Geologen/innen u. Geophysiker/-innen",38,2114
"ISCO-08_Kantar","de","2120","Mathematiker/-innen",39,2120
"ISCO-08_Kantar","de","2131","Biologen/innen u. verwandte Berufe",40,2131
"ISCO-08_Kantar","de","2132","Agrar- u. Forstwissenschaftler/-innen",41,2132
"ISCO-08_Kantar","de","2133","Umweltwissenschaftler/-innen",42,2133
"ISCO-08_Kantar","de","2141","Wirtschaftsingenieure/-innen",43,2141
"ISCO-08_Kantar","de","2142","Bauingenieure/-innen",44,2142
"ISCO-08_Kantar","de","2143","Umweltschutzingenieure/-innen",45,2143
"ISCO-08_Kantar","de","2144","Maschinenbauingenieure/-innen",46,2144
"ISCO-08_Kantar","de","2145","Chemieingenieure/-innen",47,2145
"ISCO-08_Kantar","de","2146","Bergbauingenieure/-innen",48,2146
"ISCO-08_Kantar","de","2149","Ingenieure/-innen a.n.g.",49,2149
"ISCO-08_Kantar","de","2151","Ingenieure/-innen, Elektrotechnik",50,2151
"ISCO-08_Kantar","de","2152","Ingenieur/-innen, Elektronik",51,2152
"ISCO-08_Kantar","de","2153","Ingenieur/-innen, Telekommunikation",52,2153
"ISCO-08_Kantar","de","2161","Architekten/-innen",53,2161
"ISCO-08_Kantar","de","2162","Landschaftsarchitekten/-innen",54,2162
"ISCO-08_Kantar","de","2163","Produkt- und Textildesigner/-innen",55,2163
"ISCO-08_Kantar","de","2164","Raum-, Stadt- und Verkehrsplaner/-innen",56,2164
"ISCO-08_Kantar","de","2165","Kartografen/-innen",57,2165
"ISCO-08_Kantar","de","2166","Grafik- und Multimediadesigner/-innen",58,2166
"ISCO-08_Kantar","de","2211","Allgemeinärzte/-innen",59,2211
"ISCO-08_Kantar","de","2212","Fachärzte/-innen",60,2212
"ISCO-08_Kantar","de","2221","Akadem. Krankenpflegefachkräfte",61,2221
"ISCO-08_Kantar","de","2222","Akadem. Geburtshilfefachkräfte",62,2222
"ISCO-08_Kantar","de","2230","Akadem. Fachkräfte, Medizin",63,2230
"ISCO-08_Kantar","de","2240","Paramedizinische Praktiker/-innen",64,2240
"ISCO-08_Kantar","de","2250","Tierärzte/-innen",65,2250
"ISCO-08_Kantar","de","2261","Zahnärzte/-innen",66,2261
"ISCO-08_Kantar","de","2262","Apotheker/-innen",67,2262
"ISCO-08_Kantar","de","2263","Akadem. Fachkräfte, Umweltmedizin",68,2263
"ISCO-08_Kantar","de","2264","Physiotherapeuten/-innen",69,2264
"ISCO-08_Kantar","de","2265","Ernährungsberater/-innen",70,2265
"ISCO-08_Kantar","de","2266","Sprachtherapeuten/-innen",71,2266
"ISCO-08_Kantar","de","2267","Optometristen/innen",72,2267
"ISCO-08_Kantar","de","2269","Akadem. Gesundheitsberufe, a.n.g.",73,2269
"ISCO-08_Kantar","de","2310","Universitäts- u. Hochschullehrer/-innen",74,2310
"ISCO-08_Kantar","de","2320","Lehrkräfte im Bereich Berufsbildung",75,2320
"ISCO-08_Kantar","de","2330","Lehrkräfte im Sekundarbereich",76,2330
"ISCO-08_Kantar","de","2341","Lehrkräfte im Primarbereich",77,2341
"ISCO-08_Kantar","de","2342","Lehrkräfte im Vorschulbereich",78,2342
"ISCO-08_Kantar","de","2351","Pädagogikspezialisten/-innen",79,2351
"ISCO-08_Kantar","de","2352","Lehrkräfte im Bereich Sonderpädagogik",80,2352
"ISCO-08_Kantar","de","2353","Sonst. Sprachlehrer/-innen",81,2353
"ISCO-08_Kantar","de","2354","Sonst. Musiklehrer/-innen",82,2354
"ISCO-08_Kantar","de","2355","Sonst. Kunstlehrer/-innen",83,2355
"ISCO-08_Kantar","de","2356","Ausbilder/-innen, Informationstechnolog.",84,2356
"ISCO-08_Kantar","de","2359","Lehrkräfte, a.n.g.",85,2359
"ISCO-08_Kantar","de","2411","Wirtschaftsprüfer/-innen",86,2411
"ISCO-08_Kantar","de","2412","Finanz- u. Anlageberater/-innen",87,2412
"ISCO-08_Kantar","de","2413","Finanzanalysten/-innen",88,2413
"ISCO-08_Kantar","de","2421","Akadem. Fachkräfte, Managementsanalyse",89,2421
"ISCO-08_Kantar","de","2422","Akadem. Fachkräfte, strateg. Planung",90,2422
"ISCO-08_Kantar","de","2423","Berufsberater/-innen",91,2423
"ISCO-08_Kantar","de","2424","Fachkräfte, Personalentwicklung",92,2424
"ISCO-08_Kantar","de","2431","Akadem. Fachkräfte, Werbung/Marketing",93,2431
"ISCO-08_Kantar","de","2432","Akadem. Fachkräfte, Öffentlichkeitsarb.",94,2432
"ISCO-08_Kantar","de","2433","Akadem. Fachkräfte, Vertrieb (Technik)",95,2433
"ISCO-08_Kantar","de","2434","Akadem. Fachkräfte, Vertrieb (Kommunik.)",96,2434
"ISCO-08_Kantar","de","2511","Systemanalytiker/-innen",97,2511
"ISCO-08_Kantar","de","2512","Softwareentwickler/-innen",98,2512
"ISCO-08_Kantar","de","2513","Web-/Multimediaentwickler/-innen",99,2513
"ISCO-08_Kantar","de","2514","Anwendungsprogrammierer/-innen",100,2514
"ISCO-08_Kantar","de","2519","Entwickler/-innen von Software, a.n.g.",101,2519
"ISCO-08_Kantar","de","2521","Datenbankentwickler/-innen",102,2521
"ISCO-08_Kantar","de","2522","Systemadministratoren/-innen",103,2522
"ISCO-08_Kantar","de","2523","Akadem. Fachkräfte für Computernetzwerke",104,2523
"ISCO-08_Kantar","de","2529","Akadem. Fachkräfte, Datenbanken, a.n.g.",105,2529
"ISCO-08_Kantar","de","2611","Anwälte/-innen",106,2611
"ISCO-08_Kantar","de","2612","Richter/-innen",107,2612
"ISCO-08_Kantar","de","2619","Juristen/-innen, a.n.g.",108,2619
"ISCO-08_Kantar","de","2621","Archiv-/Museumswissenschaftler/-innen",109,2621
"ISCO-08_Kantar","de","2622","Bibliothekswissenschaftler/-innen",110,2622
"ISCO-08_Kantar","de","2631","Volkswirtschaftler/-innen",111,2631
"ISCO-08_Kantar","de","2632","Soziologen/-innen",112,2632
"ISCO-08_Kantar","de","2633","Philosophen/-innen u. Historiker/-innen",113,2633
"ISCO-08_Kantar","de","2634","Psychologen/-innen",114,2634
"ISCO-08_Kantar","de","2635","Sozialarbeiter/-innen",115,2635
"ISCO-08_Kantar","de","2636","Geistliche, Seelsorger/-innen",116,2636
"ISCO-08_Kantar","de","2641","Autoren/-innen",117,2641
"ISCO-08_Kantar","de","2642","Journalisten/-innen",118,2642
"ISCO-08_Kantar","de","2643","Übersetzer/-innen u. Dolmetscher/-innen",119,2643
"ISCO-08_Kantar","de","2651","Bildende Künstler/-innen",120,2651
"ISCO-08_Kantar","de","2652","Musiker/-innen u. Komponisten/-innen",121,2652
"ISCO-08_Kantar","de","2653","Tänzer/-innen u. Choreografen/-innen",122,2653
"ISCO-08_Kantar","de","2654","Regisseure/-innen, Film-/Bühnenbereich",123,2654
"ISCO-08_Kantar","de","2655","Schauspieler/-innen",124,2655
"ISCO-08_Kantar","de","2656","Sprecher/-innen, Rundfunk/Fernsehen",125,2656
"ISCO-08_Kantar","de","2659","Künstler/-innen, a.n.g.",126,2659
"ISCO-08_Kantar","de","3111","Chemo-/Physikotechniker/-innen",127,3111
"ISCO-08_Kantar","de","3112","Bautechniker/-innen",128,3112
"ISCO-08_Kantar","de","3113","Elektrotechniker/-innen",129,3113
"ISCO-08_Kantar","de","3114","Techniker/-innen, Elektronik",130,3114
"ISCO-08_Kantar","de","3115","Maschinenbautechniker/-innen",131,3115
"ISCO-08_Kantar","de","3116","Verfahrenstechniker/-innen",132,3116
"ISCO-08_Kantar","de","3117","Bergbau- u. Hüttentechniker/-innen",133,3117
"ISCO-08_Kantar","de","3118","Technische Zeichner/-innen",134,3118
"ISCO-08_Kantar","de","3119","Ingenieurtechnische Fachkräfte, a.n.g.",135,3119
"ISCO-08_Kantar","de","3121","Produktionsleiter/-innen, Bergbau",136,3121
"ISCO-08_Kantar","de","3122","Produktionsleiter/-innen, Warenherst.",137,3122
"ISCO-08_Kantar","de","3123","Bauleiter/-innen",138,3123
"ISCO-08_Kantar","de","3131","Steuerer v. Energieerzeneugungsanlagen",139,3131
"ISCO-08_Kantar","de","3132","Steuerer v. Verbrennungssanlagen",140,3132
"ISCO-08_Kantar","de","3133","Steuerer v. chem. Verfahrensanlagen",141,3133
"ISCO-08_Kantar","de","3134","Steuerer v. Raffinationsanlagen",142,3134
"ISCO-08_Kantar","de","3135","Steuerer , Verfahren der Metallerzeugung",143,3135
"ISCO-08_Kantar","de","3139","Techniker/-innen, Prozesssteuer., a.n.g.",144,3139
"ISCO-08_Kantar","de","3141","Biotechniker/-innen (ohne med. Fachb.)",145,3141
"ISCO-08_Kantar","de","3142","Agrartechniker/-innen",146,3142
"ISCO-08_Kantar","de","3143","Forsttechniker/-innen",147,3143
"ISCO-08_Kantar","de","3151","Technische Schiffsoffiziere",148,3151
"ISCO-08_Kantar","de","3152","Schiffsführer/-innen",149,3152
"ISCO-08_Kantar","de","3153","Flugzeugführer/-innen",150,3153
"ISCO-08_Kantar","de","3154","Flugverkehrslots/-innen",151,3154
"ISCO-08_Kantar","de","3155","Flugsicherungstechniker/-innen",152,3155
"ISCO-08_Kantar","de","3211","Medizintechniker/-innen, Therapiegeräte",153,3211
"ISCO-08_Kantar","de","3212","Medizintechniker/-innen, Labor",154,3212
"ISCO-08_Kantar","de","3213","Pharmazeutisch-techn. Assistent/-innen",155,3213
"ISCO-08_Kantar","de","3214","Medizinische Prothetiktechniker/-innen",156,3214
"ISCO-08_Kantar","de","3221","Nicht akad. Krankenpflegefachkräfte",157,3221
"ISCO-08_Kantar","de","3222","Nicht akad. Geburtshilfefachkräfte",158,3222
"ISCO-08_Kantar","de","3230","Nicht akad. Fachkräfte, Medizin",159,3230
"ISCO-08_Kantar","de","3240","Veterinärmedizinische Fachkräfte",160,3240
"ISCO-08_Kantar","de","3251","Zahnmedizinische Assistenten/-innen",161,3251
