"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-68_Ganzeboom","100","ISEI","62",1,
"ISCO-68_Ganzeboom","110","ISEI","73",1,
"ISCO-68_Ganzeboom","120","ISEI","79",1,
"ISCO-68_Ganzeboom","130","ISEI","79",1,
"ISCO-68_Ganzeboom","131","ISEI","79",1,
"ISCO-68_Ganzeboom","132","ISEI","79",1,
"ISCO-68_Ganzeboom","133","ISEI","79",1,
"ISCO-68_Ganzeboom","139","ISEI","79",1,
"ISCO-68_Ganzeboom","140","ISEI","47",1,
"ISCO-68_Ganzeboom","200","ISEI","71",1,
"ISCO-68_Ganzeboom","210","ISEI","77",1,
"ISCO-68_Ganzeboom","220","ISEI","73",1,
"ISCO-68_Ganzeboom","230","ISEI","69",1,
"ISCO-68_Ganzeboom","240","ISEI","68",1,
"ISCO-68_Ganzeboom","250","ISEI","73",1,
"ISCO-68_Ganzeboom","260","ISEI","70",1,
"ISCO-68_Ganzeboom","270","ISEI","65",1,
"ISCO-68_Ganzeboom","280","ISEI","65",1,
"ISCO-68_Ganzeboom","290","ISEI","76",1,
"ISCO-68_Ganzeboom","300","ISEI","53",1,
"ISCO-68_Ganzeboom","310","ISEI","58",1,
"ISCO-68_Ganzeboom","320","ISEI","53",1,
"ISCO-68_Ganzeboom","321","ISEI","53",1,
"ISCO-68_Ganzeboom","329","ISEI","53",1,
"ISCO-68_Ganzeboom","330","ISEI","50",1,
"ISCO-68_Ganzeboom","339","ISEI","50",1,
"ISCO-68_Ganzeboom","340","ISEI","48",1,
"ISCO-68_Ganzeboom","350","ISEI","52",1,
"ISCO-68_Ganzeboom","360","ISEI","57",1,
"ISCO-68_Ganzeboom","370","ISEI","56",1,
"ISCO-68_Ganzeboom","380","ISEI","56",1,
"ISCO-68_Ganzeboom","390","ISEI","56",1,
"ISCO-68_Ganzeboom","409","ISEI",,1,"no ISEI provided"
"ISCO-68_Ganzeboom","400","ISEI","59",1,
"ISCO-68_Ganzeboom","410","ISEI","71",1,
"ISCO-68_Ganzeboom","411","ISEI","71",1,
"ISCO-68_Ganzeboom","419","ISEI","71",1,
"ISCO-68_Ganzeboom","420","ISEI","53",1,
"ISCO-68_Ganzeboom","421","ISEI","53",1,
"ISCO-68_Ganzeboom","429","ISEI","53",1,
"ISCO-68_Ganzeboom","430","ISEI","53",1,
"ISCO-68_Ganzeboom","500","ISEI","65",1,
"ISCO-68_Ganzeboom","510","ISEI","77",1,
"ISCO-68_Ganzeboom","520","ISEI","77",1,
"ISCO-68_Ganzeboom","521","ISEI","77",1,
"ISCO-68_Ganzeboom","529","ISEI","77",1,
"ISCO-68_Ganzeboom","530","ISEI","77",1,
"ISCO-68_Ganzeboom","531","ISEI","77",1,
"ISCO-68_Ganzeboom","539","ISEI","77",1,
