"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-68_Ganzeboom","en","100","PHYSIC SCIENTIST",1,100
"ISCO-68_Ganzeboom","en","110","CHEMIST",2,110
"ISCO-68_Ganzeboom","en","120","PHYSICIST",3,120
"ISCO-68_Ganzeboom","en","130","PHYS SCIENTIST",4,130
"ISCO-68_Ganzeboom","en","131","GEOLOGIST",5,131
"ISCO-68_Ganzeboom","en","132","ASTRONOMIST",6,132
"ISCO-68_Ganzeboom","en","133","WEATHERMAN",7,133
"ISCO-68_Ganzeboom","en","139","SCIENTIST",8,139
"ISCO-68_Ganzeboom","en","140","PHYS SCIENCE TECHN",9,140
"ISCO-68_Ganzeboom","en","200","ARCHTCTS,ENGINEERS",10,200
"ISCO-68_Ganzeboom","en","210","ARCHITECTS",11,210
"ISCO-68_Ganzeboom","en","220","CIVIL ENGINEERS",12,220
"ISCO-68_Ganzeboom","en","230","ELECTRICAL ENGINEERS",13,230
"ISCO-68_Ganzeboom","en","240","MECHANICAL ENGINEERS",14,240
"ISCO-68_Ganzeboom","en","250","CHEMICAL ENGINEERS",15,250
"ISCO-68_Ganzeboom","en","260","METALLURGIST",16,260
"ISCO-68_Ganzeboom","en","270","MINING ENGINEER",17,270
"ISCO-68_Ganzeboom","en","280","INDUSTRIAL ENGINEER",18,280
"ISCO-68_Ganzeboom","en","290","ENGINEER NEC",19,290
"ISCO-68_Ganzeboom","en","300","ENGIN TECHNICIANS",20,300
"ISCO-68_Ganzeboom","en","310","SURVEYOR",21,310
"ISCO-68_Ganzeboom","en","320","DRAFTSMEN",22,320
"ISCO-68_Ganzeboom","en","321","TRACER",23,321
"ISCO-68_Ganzeboom","en","329","DRAFTSMAN",24,329
"ISCO-68_Ganzeboom","en","330","CIVIL ENG TECHNICIAN",25,330
"ISCO-68_Ganzeboom","en","339","SURVEYOR ASSISTENT",26,339
"ISCO-68_Ganzeboom","en","340","ELECTR ENGIN TECHN",27,340
"ISCO-68_Ganzeboom","en","350","MECH ENGIN TECHCN",28,350
"ISCO-68_Ganzeboom","en","360","CHEM ENGIN TECHCN",29,360
"ISCO-68_Ganzeboom","en","370","METALLURG TECHCN",30,370
"ISCO-68_Ganzeboom","en","380","MINING TECHNICIAN",31,380
"ISCO-68_Ganzeboom","en","390","ENGIN TECHNCN NEC",32,390
"ISCO-68_Ganzeboom","en","409","AIRCR SHIP OFFICRS",33,409
"ISCO-68_Ganzeboom","en","400","PILOTS-SHIP CAPTAINS",34,400
"ISCO-68_Ganzeboom","en","410","PILOTS ARW",35,410
"ISCO-68_Ganzeboom","en","411","ASTRONAUT",36,411
"ISCO-68_Ganzeboom","en","419","AIRCRAFT PILOT",37,419
"ISCO-68_Ganzeboom","en","420","SHIP OFFCR ARW",38,420
"ISCO-68_Ganzeboom","en","421","SMALL BOAT OFFICER",39,421
"ISCO-68_Ganzeboom","en","429","SHIPS OFFICER",40,429
"ISCO-68_Ganzeboom","en","430","SHIPS ENGINEER",41,430
"ISCO-68_Ganzeboom","en","500","LIFE SCIENTIST",42,500
"ISCO-68_Ganzeboom","en","510","BIOLOGIST",43,510
"ISCO-68_Ganzeboom","en","520","BACTERIOLOGISTS",44,520
"ISCO-68_Ganzeboom","en","521","DAIRY SCIENTIST",45,521
"ISCO-68_Ganzeboom","en","529","MEDICAL RESEARCHER",46,529
"ISCO-68_Ganzeboom","en","530","AGRONOMISTS",47,530
"ISCO-68_Ganzeboom","en","531","AGRICULTURAL AGENT",48,531
"ISCO-68_Ganzeboom","en","539","AGRONOMIST",49,539
"ISCO-68_Ganzeboom","en","540","LIFE SC TECHNICIANS",50,540
"ISCO-68_Ganzeboom","en","541","AGRICULT TECHNCN",51,541
"ISCO-68_Ganzeboom","en","549","MEDICAL TECHNICIAN",52,549
"ISCO-68_Ganzeboom","en","600","MEDICAL ARW WRKRS",53,600
"ISCO-68_Ganzeboom","en","610","MEDICAL DOCTOR",54,610
"ISCO-68_Ganzeboom","en","611","CHF PHYSIC IN HOSPITAL",55,611
"ISCO-68_Ganzeboom","en","619","PHYSICIAN",56,619
"ISCO-68_Ganzeboom","en","620","MEDICAL ASSISTANT",57,620
"ISCO-68_Ganzeboom","en","630","DENTIST",58,630
"ISCO-68_Ganzeboom","en","640","DENTAL ASSISTANT",59,640
"ISCO-68_Ganzeboom","en","650","VETERINARIAN",60,650
"ISCO-68_Ganzeboom","en","660","VETERINARY ASSISTANT",61,660
"ISCO-68_Ganzeboom","en","670","PHARMACIST",62,670
"ISCO-68_Ganzeboom","en","680","PHARM ASSISTANT",63,680
"ISCO-68_Ganzeboom","en","690","DIETITIAN",64,690
"ISCO-68_Ganzeboom","en","700","LOWER MEDCL PROFS",65,700
"ISCO-68_Ganzeboom","en","710","PROF NURSES ARW",66,710
"ISCO-68_Ganzeboom","en","711","HEADNURSE",67,711
"ISCO-68_Ganzeboom","en","715","OTHER LOWER MEDCL PROFS",68,715
"ISCO-68_Ganzeboom","en","719","PROFESSIONAL NURSE",69,719
"ISCO-68_Ganzeboom","en","720","UNCERTIFIED NURSE",70,720
"ISCO-68_Ganzeboom","en","730","PROFES MIDWIFE",71,730
"ISCO-68_Ganzeboom","en","740","MIDWIFE PERSNL NEC",72,740
"ISCO-68_Ganzeboom","en","750","OPTOMETRIST",73,750
"ISCO-68_Ganzeboom","en","751","OPTICIAN",74,751
"ISCO-68_Ganzeboom","en","759","OPTOMETRIST",75,759
"ISCO-68_Ganzeboom","en","760","PHYSIOTHERAPISTS",76,760
"ISCO-68_Ganzeboom","en","761","OCCUPATIONL THERAPST",77,761
"ISCO-68_Ganzeboom","en","762","MASSEUR",78,762
"ISCO-68_Ganzeboom","en","769","PHYSIOTHERAPISTS",79,769
"ISCO-68_Ganzeboom","en","770","MEDCL X-RAY TECHNCN",80,770
"ISCO-68_Ganzeboom","en","780","LOWER MEDCL PROFS",81,780
"ISCO-68_Ganzeboom","en","790","MEDICAL WORKER NEC",82,790
"ISCO-68_Ganzeboom","en","791","CHIROPRACTOR",83,791
"ISCO-68_Ganzeboom","en","792","HERBALIST",84,792
"ISCO-68_Ganzeboom","en","793","SANITARY OFFICER",85,793
"ISCO-68_Ganzeboom","en","799","OSTEOPATH",86,799
"ISCO-68_Ganzeboom","en","800","MATHEMATICNS ARW",87,800
"ISCO-68_Ganzeboom","en","810","STATISTICIAN",88,810
"ISCO-68_Ganzeboom","en","820","MATHEMATICIAN",89,820
"ISCO-68_Ganzeboom","en","830","SYSTEM ANALYST",90,830
"ISCO-68_Ganzeboom","en","840","STAT TECHNICN",91,840
"ISCO-68_Ganzeboom","en","849","COMPUTER PROGRAMMER",92,849
"ISCO-68_Ganzeboom","en","900","ECONOMIST",93,900
"ISCO-68_Ganzeboom","en","1100","ACCOUNTANT",94,1100
"ISCO-68_Ganzeboom","en","1101","PROFESSNL ACCOUNTNT",95,1101
"ISCO-68_Ganzeboom","en","1109","ACCOUNTANT",96,1109
"ISCO-68_Ganzeboom","en","1200","JURIST",97,1200
"ISCO-68_Ganzeboom","en","1210","LAWYERS",98,1210
"ISCO-68_Ganzeboom","en","1211","PUBLIC PROSECUTOR",99,1211
"ISCO-68_Ganzeboom","en","1219","TRIAL LAWYER",100,1219
"ISCO-68_Ganzeboom","en","1220","JUDGES",101,1220
"ISCO-68_Ganzeboom","en","1221","SUPREME COURT JUSTICE",102,1221
"ISCO-68_Ganzeboom","en","1222","LOCAL COURT JUSTICE",103,1222
"ISCO-68_Ganzeboom","en","1229","JUDGE",104,1229
"ISCO-68_Ganzeboom","en","1290","JURIST NEC",105,1290
"ISCO-68_Ganzeboom","en","1291","LEGL ADVISR WOUT DEGREE",106,1291
"ISCO-68_Ganzeboom","en","1299","NON-TRIAL LAWYER",107,1299
"ISCO-68_Ganzeboom","en","1300","TEACHER",108,1300
"ISCO-68_Ganzeboom","en","1304","SECOND SCHOOL PRINCIPAL",109,1304
"ISCO-68_Ganzeboom","en","1310","UNIVERS TEACHER",110,1310
"ISCO-68_Ganzeboom","en","1311","UNIVERS PROFESSOR,DEAN",111,1311
"ISCO-68_Ganzeboom","en","1319","UNIVERSITY TEACHER",112,1319
"ISCO-68_Ganzeboom","en","1320","SECONDARY SCHOOL TEACHER",113,1320
"ISCO-68_Ganzeboom","en","1321","MIDDLE SCHOOL TEACHER",114,1321
"ISCO-68_Ganzeboom","en","1329","HIGH SCHOOL TEACHER",115,1329
"ISCO-68_Ganzeboom","en","1330","PRIMARY TEACHER",116,1330
"ISCO-68_Ganzeboom","en","1340","PREPRIMARY TEACHER",117,1340
"ISCO-68_Ganzeboom","en","1350","SPEC EDUCYR TEACHER",118,1350
"ISCO-68_Ganzeboom","en","1390","TEACHERS NEC",119,1390
"ISCO-68_Ganzeboom","en","1391","PRIMARY PRINCIPAL",120,1391
"ISCO-68_Ganzeboom","en","1392","EDUCYRATION OFFICER",121,1392
"ISCO-68_Ganzeboom","en","1393","TEACHERS AIDE",122,1393
"ISCO-68_Ganzeboom","en","1394","SEC SCHOOL PRINCIPAL",123,1394
"ISCO-68_Ganzeboom","en","1399","VOCATIONAL TEACHER",124,1399
"ISCO-68_Ganzeboom","en","1400","RELIGIOUS WRKRS",125,1400
"ISCO-68_Ganzeboom","en","1410","RELI MINISTER ARW",126,1410
"ISCO-68_Ganzeboom","en","1411","HIGH CHURCH OFFICER",127,1411
"ISCO-68_Ganzeboom","en","1412","RELIGIOUS RECITER",128,1412
"ISCO-68_Ganzeboom","en","1413","EVANGELIST",129,1413
"ISCO-68_Ganzeboom","en","1414","MISSIONARY",130,1414
"ISCO-68_Ganzeboom","en","1415","MEMB OF RELIGS ORDER",131,1415
"ISCO-68_Ganzeboom","en","1416","ASSISTANT PRIEST",132,1416
"ISCO-68_Ganzeboom","en","1419","CLERGYMAN",133,1419
"ISCO-68_Ganzeboom","en","1490","RELI WORKERS",134,1490
"ISCO-68_Ganzeboom","en","1491","FAITH HEALER",135,1491
"ISCO-68_Ganzeboom","en","1499","RELIGIOUS TEACHER",136,1499
"ISCO-68_Ganzeboom","en","1500","AUTHORS ARW",137,1500
"ISCO-68_Ganzeboom","en","1510","AUTHORS",138,1510
"ISCO-68_Ganzeboom","en","1511","PULPWRITER",139,1511
"ISCO-68_Ganzeboom","en","1519","AUTHOR",140,1519
"ISCO-68_Ganzeboom","en","1590","AUTHORS ARW",141,1590
"ISCO-68_Ganzeboom","en","1591","NEWSPAPER EDITOR",142,1591
"ISCO-68_Ganzeboom","en","1592","ADVERTISING WRITER",143,1592
"ISCO-68_Ganzeboom","en","1593","PUBLIC RELATIONS MAN",144,1593
"ISCO-68_Ganzeboom","en","1599","JOURNALIST",145,1599
"ISCO-68_Ganzeboom","en","1600","CREATIVE ARTISTS",146,1600
"ISCO-68_Ganzeboom","en","1610","ARTIST",147,1610
