"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-68_SOEPdepr","1","ISCO-68_ILO","Y",1,
"ISCO-68_SOEPdepr","2","ISCO-68_ILO","Y",1,
"ISCO-68_SOEPdepr","3","ISCO-68_ILO","X-30",1,
"ISCO-68_SOEPdepr","4","ISCO-68_ILO","X-20",1,
"ISCO-68_SOEPdepr","5",,,,"no value available in target"
"ISCO-68_SOEPdepr","6",,,,"no value available in target"
"ISCO-68_SOEPdepr","7",,,,"no value available in target"
"ISCO-68_SOEPdepr","8",,,,"no value available in target"
"ISCO-68_SOEPdepr","9",,,,"no value available in target"
"ISCO-68_SOEPdepr","11","ISCO-68_ILO","0-11",1,
"ISCO-68_SOEPdepr","12","ISCO-68_ILO","0-12",1,
"ISCO-68_SOEPdepr","13","ISCO-68_ILO","0-13",1,
"ISCO-68_SOEPdepr","14","ISCO-68_ILO","0-14",1,
"ISCO-68_SOEPdepr","21","ISCO-68_ILO","0-21",1,
"ISCO-68_SOEPdepr","22","ISCO-68_ILO","0-22",1,
"ISCO-68_SOEPdepr","23","ISCO-68_ILO","0-23",1,
"ISCO-68_SOEPdepr","24","ISCO-68_ILO","0-24",1,
"ISCO-68_SOEPdepr","25","ISCO-68_ILO","0-25",1,
"ISCO-68_SOEPdepr","26","ISCO-68_ILO","0-26",1,
"ISCO-68_SOEPdepr","27","ISCO-68_ILO","0-27",1,
"ISCO-68_SOEPdepr","28","ISCO-68_ILO","0-28",1,
"ISCO-68_SOEPdepr","29","ISCO-68_ILO","0-29",1,
"ISCO-68_SOEPdepr","31","ISCO-68_ILO","0-31",1,
"ISCO-68_SOEPdepr","32","ISCO-68_ILO","0-32",1,
"ISCO-68_SOEPdepr","33","ISCO-68_ILO","0-33",1,
"ISCO-68_SOEPdepr","34","ISCO-68_ILO","0-34",1,
"ISCO-68_SOEPdepr","35","ISCO-68_ILO","0-35",1,
"ISCO-68_SOEPdepr","36","ISCO-68_ILO","0-36",1,
"ISCO-68_SOEPdepr","37","ISCO-68_ILO","0-37",1,
"ISCO-68_SOEPdepr","38","ISCO-68_ILO","0-38",1,
"ISCO-68_SOEPdepr","39","ISCO-68_ILO","0-39",1,
"ISCO-68_SOEPdepr","41","ISCO-68_ILO","0-41",1,
"ISCO-68_SOEPdepr","42","ISCO-68_ILO","0-42",1,
"ISCO-68_SOEPdepr","43","ISCO-68_ILO","0-43",1,
"ISCO-68_SOEPdepr","51","ISCO-68_ILO","0-51",1,
"ISCO-68_SOEPdepr","52","ISCO-68_ILO","0-52",1,
"ISCO-68_SOEPdepr","53","ISCO-68_ILO","0-53",1,
"ISCO-68_SOEPdepr","54","ISCO-68_ILO","0-54",1,
"ISCO-68_SOEPdepr","61","ISCO-68_ILO","0-61",1,
"ISCO-68_SOEPdepr","62","ISCO-68_ILO","0-62",1,
"ISCO-68_SOEPdepr","63","ISCO-68_ILO","0-63",1,
"ISCO-68_SOEPdepr","64","ISCO-68_ILO","0-64",1,
"ISCO-68_SOEPdepr","65","ISCO-68_ILO","0-65",1,
"ISCO-68_SOEPdepr","66","ISCO-68_ILO","0-66",1,
"ISCO-68_SOEPdepr","67","ISCO-68_ILO","0-67",1,
"ISCO-68_SOEPdepr","68","ISCO-68_ILO","0-68",1,
"ISCO-68_SOEPdepr","69","ISCO-68_ILO","0-69",1,
"ISCO-68_SOEPdepr","71","ISCO-68_ILO","0-71",1,
"ISCO-68_SOEPdepr","72","ISCO-68_ILO","0-72",1,
"ISCO-68_SOEPdepr","73","ISCO-68_ILO","0-73",1,
"ISCO-68_SOEPdepr","74","ISCO-68_ILO","0-74",1,
"ISCO-68_SOEPdepr","75","ISCO-68_ILO","0-75",1,
"ISCO-68_SOEPdepr","76","ISCO-68_ILO","0-76",1,
"ISCO-68_SOEPdepr","77","ISCO-68_ILO","0-77",1,
"ISCO-68_SOEPdepr","79","ISCO-68_ILO","0-79",1,
"ISCO-68_SOEPdepr","81","ISCO-68_ILO","0-81",1,
"ISCO-68_SOEPdepr","82","ISCO-68_ILO","0-82",1,
"ISCO-68_SOEPdepr","83","ISCO-68_ILO","0-83",1,
"ISCO-68_SOEPdepr","84","ISCO-68_ILO","0-84",1,
"ISCO-68_SOEPdepr","90","ISCO-68_ILO","0-90",1,
"ISCO-68_SOEPdepr","110","ISCO-68_ILO","1-10",1,
"ISCO-68_SOEPdepr","121","ISCO-68_ILO","1-21",1,
"ISCO-68_SOEPdepr","122","ISCO-68_ILO","1-22",1,
"ISCO-68_SOEPdepr","129","ISCO-68_ILO","1-29",1,
"ISCO-68_SOEPdepr","131","ISCO-68_ILO","1-31",1,
"ISCO-68_SOEPdepr","132","ISCO-68_ILO","1-32",1,
"ISCO-68_SOEPdepr","133","ISCO-68_ILO","1-33",1,
"ISCO-68_SOEPdepr","134","ISCO-68_ILO","1-34",1,
"ISCO-68_SOEPdepr","135","ISCO-68_ILO","1-35",1,
"ISCO-68_SOEPdepr","139","ISCO-68_ILO","1-39",1,
"ISCO-68_SOEPdepr","141","ISCO-68_ILO","1-41",1,
"ISCO-68_SOEPdepr","149","ISCO-68_ILO","1-49",1,
"ISCO-68_SOEPdepr","151","ISCO-68_ILO","1-51",1,
"ISCO-68_SOEPdepr","159","ISCO-68_ILO","1-59",1,
"ISCO-68_SOEPdepr","161","ISCO-68_ILO","1-61",1,
"ISCO-68_SOEPdepr","162","ISCO-68_ILO","1-62",1,
"ISCO-68_SOEPdepr","163","ISCO-68_ILO","1-63",1,
"ISCO-68_SOEPdepr","171","ISCO-68_ILO","1-71",1,
"ISCO-68_SOEPdepr","172","ISCO-68_ILO","1-72",1,
"ISCO-68_SOEPdepr","173","ISCO-68_ILO","1-73",1,
"ISCO-68_SOEPdepr","174","ISCO-68_ILO","1-74",1,
"ISCO-68_SOEPdepr","175","ISCO-68_ILO","1-75",1,
"ISCO-68_SOEPdepr","179","ISCO-68_ILO","1-79",1,
"ISCO-68_SOEPdepr","180","ISCO-68_ILO","1-80",1,
"ISCO-68_SOEPdepr","191","ISCO-68_ILO","1-91",1,
"ISCO-68_SOEPdepr","192","ISCO-68_ILO","1-92",1,
"ISCO-68_SOEPdepr","193","ISCO-68_ILO","1-93",1,
"ISCO-68_SOEPdepr","194","ISCO-68_ILO","1-94",1,
"ISCO-68_SOEPdepr","195","ISCO-68_ILO","1-95",1,
"ISCO-68_SOEPdepr","199","ISCO-68_ILO","1-99",1,
"ISCO-68_SOEPdepr","201","ISCO-68_ILO","2-01",1,
"ISCO-68_SOEPdepr","202","ISCO-68_ILO","2-02",1,
"ISCO-68_SOEPdepr","211","ISCO-68_ILO","2-11",1,
"ISCO-68_SOEPdepr","212","ISCO-68_ILO","2-12",1,
"ISCO-68_SOEPdepr","219","ISCO-68_ILO","2-19",1,
"ISCO-68_SOEPdepr","300","ISCO-68_ILO","3-00",1,
"ISCO-68_SOEPdepr","310","ISCO-68_ILO","3-10",1,
"ISCO-68_SOEPdepr","321","ISCO-68_ILO","3-21",1,
"ISCO-68_SOEPdepr","322","ISCO-68_ILO","3-22",1,
"ISCO-68_SOEPdepr","331","ISCO-68_ILO","3-31",1,
