"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-68_SOEPdepr","de","1","Soldaten",1,1
"ISCO-68_SOEPdepr","de","2","Offiziere",2,2
"ISCO-68_SOEPdepr","de","3","arbeitssuchend",3,3
"ISCO-68_SOEPdepr","de","4","nicht codierbar",4,4
"ISCO-68_SOEPdepr","de","5","in Ausbildung, schulische",5,5
"ISCO-68_SOEPdepr","de","6","Hausfrau",6,6
"ISCO-68_SOEPdepr","de","7","Rentner",7,7
"ISCO-68_SOEPdepr","de","8","weiss nicht",8,8
"ISCO-68_SOEPdepr","de","9","keine Angabe",9,9
"ISCO-68_SOEPdepr","de","11","Chemiker",10,11
"ISCO-68_SOEPdepr","de","12","Physiker",11,12
"ISCO-68_SOEPdepr","de","13","Physikalisch-wissensch. Berufe, sonst.",12,13
"ISCO-68_SOEPdepr","de","14","Physikalisch-technische Sonderfachkraeft",13,14
"ISCO-68_SOEPdepr","de","21","Architekten und Staedteplaner",14,21
"ISCO-68_SOEPdepr","de","22","Bauingenieure",15,22
"ISCO-68_SOEPdepr","de","23","Elektro- und Elektronikingenieure",16,23
"ISCO-68_SOEPdepr","de","24","Maschinenbauingenieure",17,24
"ISCO-68_SOEPdepr","de","25","Chemieingenieure",18,25
"ISCO-68_SOEPdepr","de","26","Huetteningenieure",19,26
"ISCO-68_SOEPdepr","de","27","Bergingenieure",20,27
"ISCO-68_SOEPdepr","de","28","Betriebsingenieure",21,28
"ISCO-68_SOEPdepr","de","29","Architekten und Ingenieure, sonst.",22,29
"ISCO-68_SOEPdepr","de","31","Vermessungsingenieure",23,31
"ISCO-68_SOEPdepr","de","32","Technische Zeichner",24,32
"ISCO-68_SOEPdepr","de","33","Bautechniker",25,33
"ISCO-68_SOEPdepr","de","34","Elektro- und Elektroniktechniker",26,34
"ISCO-68_SOEPdepr","de","35","Maschinenbautechniker",27,35
"ISCO-68_SOEPdepr","de","36","Chemie-Betriebstechniker",28,36
"ISCO-68_SOEPdepr","de","37","Huettentechniker",29,37
"ISCO-68_SOEPdepr","de","38","Steiger, Bergbau-Betriebstechniker",30,38
"ISCO-68_SOEPdepr","de","39","Techniker",31,39
"ISCO-68_SOEPdepr","de","41","Flugzeugfuehrer, Navigatoren, Flugzeugin",32,41
"ISCO-68_SOEPdepr","de","42","Schiffs-Decksoffiziere, Lotsen",33,42
"ISCO-68_SOEPdepr","de","43","Schiffsingenieure",34,43
"ISCO-68_SOEPdepr","de","51","Biologen, Zoologen und verwandte Wis",35,51
"ISCO-68_SOEPdepr","de","52","Bakteriologen, Pharmakologen verw. Wis",36,52
"ISCO-68_SOEPdepr","de","53","Landwirtschaftswissenschaftler",37,53
"ISCO-68_SOEPdepr","de","54","Naturwissenschaftlich-technische Assi",38,54
"ISCO-68_SOEPdepr","de","61","AErzte",39,61
"ISCO-68_SOEPdepr","de","62","Medizinische Assistenten",40,62
"ISCO-68_SOEPdepr","de","63","Zahnaerzte",41,63
"ISCO-68_SOEPdepr","de","64","Dentisten",42,64
"ISCO-68_SOEPdepr","de","65","Tieraerzte",43,65
"ISCO-68_SOEPdepr","de","66","Veterinaermedizinische Assistenten",44,66
"ISCO-68_SOEPdepr","de","67","Apotheker",45,67
"ISCO-68_SOEPdepr","de","68","Apothekerassistenten",46,68
"ISCO-68_SOEPdepr","de","69","Diaetassistenten, OEkotrophologen",47,69
"ISCO-68_SOEPdepr","de","71","Gepruefte Krankenschwestern, Krankenpfle",48,71
"ISCO-68_SOEPdepr","de","72","Pflegepersonal,",49,72
"ISCO-68_SOEPdepr","de","73","Hebammen",50,73
"ISCO-68_SOEPdepr","de","74","Gebaerhelferinnen,",51,74
"ISCO-68_SOEPdepr","de","75","Augenoptiker",52,75
"ISCO-68_SOEPdepr","de","76","Heilgymnasten",53,76
"ISCO-68_SOEPdepr","de","77","Roentgenassistenten",54,77
"ISCO-68_SOEPdepr","de","79","sonst. medizinische Berufe",55,79
"ISCO-68_SOEPdepr","de","81","Statistiker",56,81
"ISCO-68_SOEPdepr","de","82","Mathematiker",57,82
"ISCO-68_SOEPdepr","de","83","Systemanalytiker",58,83
"ISCO-68_SOEPdepr","de","84","Statistisch- und mathematisch-technische",59,84
"ISCO-68_SOEPdepr","de","90","Wirtschaftswissenschaftler",60,90
"ISCO-68_SOEPdepr","de","110","Wirtschaftsrechnungssachverstaendige, B",61,110
"ISCO-68_SOEPdepr","de","121","Rechtsvertreter",62,121
"ISCO-68_SOEPdepr","de","122","Richter",63,122
"ISCO-68_SOEPdepr","de","129","sonst. Juristen",64,129
"ISCO-68_SOEPdepr","de","131","Lehrkraefte der oberen Bildungsebene",65,131
"ISCO-68_SOEPdepr","de","132","Lehrkraefte der mittleren Bildungsebene",66,132
"ISCO-68_SOEPdepr","de","133","Lehrkraefte der unteren Bildungsebene",67,133
"ISCO-68_SOEPdepr","de","134","Lehrkraefte fuer vorschulische Erziehung",68,134
"ISCO-68_SOEPdepr","de","135","Sonderlehrer",69,135
"ISCO-68_SOEPdepr","de","139","Lehrkraefte",70,139
"ISCO-68_SOEPdepr","de","141","Geistliche, Religioese",71,141
"ISCO-68_SOEPdepr","de","149","Seelsorger, Seelsorgehelfer",72,149
"ISCO-68_SOEPdepr","de","151","Schriftsteller, Kritiker",73,151
"ISCO-68_SOEPdepr","de","159","Schriftsteller, Journalisten und verw. p",74,159
"ISCO-68_SOEPdepr","de","161","Bildhauer, Kunstmaler und verwandte Kue",75,161
"ISCO-68_SOEPdepr","de","162","Gewerbliche Kuenstler, Musterzeichner",76,162
"ISCO-68_SOEPdepr","de","163","Photographen und Kameraleute",77,163
"ISCO-68_SOEPdepr","de","171","Komponisten, Musiker und Saenger",78,171
"ISCO-68_SOEPdepr","de","172","Choreographen, Taenzer",79,172
"ISCO-68_SOEPdepr","de","173","Schauspieler, Regisseure",80,173
"ISCO-68_SOEPdepr","de","174","Produktionsleiter, Theater, Film, Rundf",81,174
"ISCO-68_SOEPdepr","de","175","Artisten",82,175
"ISCO-68_SOEPdepr","de","179","Musiker, Darsteller, Taenzer und aehnl.",83,179
"ISCO-68_SOEPdepr","de","180","Berufssportler und verwandte Berufe",84,180
"ISCO-68_SOEPdepr","de","191","Bibliothekare, Archivare, Kuratoren",85,191
"ISCO-68_SOEPdepr","de","192","Soziologen, Anthropologen und verw",86,192
"ISCO-68_SOEPdepr","de","193","Sozialarbeiter, Sozialfuersorger",87,193
"ISCO-68_SOEPdepr","de","194","Personalfachleute, Berufsberater, Berufs",88,194
"ISCO-68_SOEPdepr","de","195","Sprachwissenschaftler, UEbersetzer, Dolm",89,195
"ISCO-68_SOEPdepr","de","199","Andere Wissenschaftler, techn. u. verw.",90,199
"ISCO-68_SOEPdepr","de","201","Angehoerige gesetzgebender Koerperschaft",91,201
"ISCO-68_SOEPdepr","de","202","Verwaltungsbedienstete in leitender Stel",92,202
"ISCO-68_SOEPdepr","de","211","Hauptgeschaeftsfuehrer und Unternehmer",93,211
"ISCO-68_SOEPdepr","de","212","Produktionsleiter, ausserhalb der Landwi",94,212
"ISCO-68_SOEPdepr","de","219","Fuehrungskraefte in der Privatwirtschaft",95,219
"ISCO-68_SOEPdepr","de","300","Buerovorsteher",96,300
"ISCO-68_SOEPdepr","de","310","Ausfuehrende Verwaltungsbedienstete",97,310
"ISCO-68_SOEPdepr","de","321","Stenographen, Maschinenschreiber, Fernsc",98,321
"ISCO-68_SOEPdepr","de","322","Lochkartenlocher, Lochstreifenlocher",99,322
"ISCO-68_SOEPdepr","de","331","Buchhalter, Kassierer",100,331
"ISCO-68_SOEPdepr","de","339","Buchhalter, Kassierer und verwandte Beru",101,339
"ISCO-68_SOEPdepr","de","341","Maschinenbuchhalter, Maschinenrechner",102,341
"ISCO-68_SOEPdepr","de","342","Bediener von Datenverarbeitungsanlagen",103,342
"ISCO-68_SOEPdepr","de","351","Bahnhofvorsteher",104,351
"ISCO-68_SOEPdepr","de","352","Postamtsvorsteher",105,352
"ISCO-68_SOEPdepr","de","359","Aufsichtskraefte im Transport-, Funk- u.",106,359
"ISCO-68_SOEPdepr","de","360","Schaffner",107,360
"ISCO-68_SOEPdepr","de","370","Postverteiler",108,370
"ISCO-68_SOEPdepr","de","380","Telefonisten und Telegraphisten",109,380
"ISCO-68_SOEPdepr","de","391","Lagerverwalter",110,391
"ISCO-68_SOEPdepr","de","392","Materialplaner, Fertigungsplaner",111,392
"ISCO-68_SOEPdepr","de","393","Sekretaere, Korrespondenten und verwandt",112,393
"ISCO-68_SOEPdepr","de","394","Empfangsbuerokraefte, Reisebueroangestel",113,394
"ISCO-68_SOEPdepr","de","395","Buechereiwarte, Registratoren",114,395
"ISCO-68_SOEPdepr","de","399","Buerokraefte und verwandte Berufe",115,399
"ISCO-68_SOEPdepr","de","400","Geschaeftsfuehrer, Gross- und Einzelhan",116,400
"ISCO-68_SOEPdepr","de","410","Taetige Inhaber, Gross- und Einzelhandel",117,410
"ISCO-68_SOEPdepr","de","421","Verkaufsaufsichtskraefte",118,421
"ISCO-68_SOEPdepr","de","422","Einkaeufer",119,422
"ISCO-68_SOEPdepr","de","431","Technische Verkaeufer und Kundenberater",120,431
"ISCO-68_SOEPdepr","de","432","Handelsvertreter",121,432
"ISCO-68_SOEPdepr","de","441","Vers.-vertreter, Vers.-, Immobilien-, Bo",122,441
"ISCO-68_SOEPdepr","de","442","Vermittler geschaeftlicher Dienstleistun",123,442
"ISCO-68_SOEPdepr","de","443","Versteigerer, Taxatoren",124,443
"ISCO-68_SOEPdepr","de","451","Verkaeufer, Verkaufshilfskraefte, Vorfu",125,451
"ISCO-68_SOEPdepr","de","452","Strassenhaendler, Kundenwerber, Zeitungs",126,452
"ISCO-68_SOEPdepr","de","490","Verkaufskraefte",127,490
"ISCO-68_SOEPdepr","de","500","Geschaeftsfuehrer in Gaststaetten u. Her",128,500
"ISCO-68_SOEPdepr","de","510","Hoteliers, Gastwirte und aehnliche",129,510
"ISCO-68_SOEPdepr","de","520","Hauswirtschaftliche und verwandte Aufsic",130,520
"ISCO-68_SOEPdepr","de","531","Koeche",131,531
"ISCO-68_SOEPdepr","de","532","Kellner, Barmixer und verwandte Berufe",132,532
"ISCO-68_SOEPdepr","de","540","Hausgehilfinnen und verw. hauswirtschaft",133,540
"ISCO-68_SOEPdepr","de","551","Gebaeudemeister",134,551
"ISCO-68_SOEPdepr","de","552","Raum-, Gebaeudereiniger und verwandte B",135,552
"ISCO-68_SOEPdepr","de","560","Waescher, Chemischreiniger und Buegler",136,560
"ISCO-68_SOEPdepr","de","570","Friseure, Schoenheitspfleger und verwand",137,570
"ISCO-68_SOEPdepr","de","581","Feuerwehrleute",138,581
"ISCO-68_SOEPdepr","de","582","Polizisten, Kriminalbeamte, Werkschutzle",139,582
"ISCO-68_SOEPdepr","de","589","Sicherheitsbedienstete",140,589
"ISCO-68_SOEPdepr","de","591","Reiseleiter, Fremdenfuehrer",141,591
"ISCO-68_SOEPdepr","de","592","Leichenbestatter, Leichenbehandler",142,592
"ISCO-68_SOEPdepr","de","599","Andere Dienstleistungsberufe",143,599
"ISCO-68_SOEPdepr","de","600","Landwirtschaftliche Verwalter und Gutsau",144,600
"ISCO-68_SOEPdepr","de","611","Landwirte im Allgemeinbetrieb",145,611
"ISCO-68_SOEPdepr","de","612","Landwirte im Spezialbetrieb",146,612
"ISCO-68_SOEPdepr","de","621","Landarbeiter, soweit nicht spezialisiert",147,621
"ISCO-68_SOEPdepr","de","622","Feldkulturarbeiter",148,622
"ISCO-68_SOEPdepr","de","623","Obst- und Weinbauarbeiter und aehnliche",149,623
"ISCO-68_SOEPdepr","de","624","Tierzuchtgehilfen, Tierpfleger",150,624
"ISCO-68_SOEPdepr","de","625","Melker",151,625
"ISCO-68_SOEPdepr","de","626","Gefluegelwaerter",152,626
"ISCO-68_SOEPdepr","de","627","Pflanzenzuechter, Gartenbaugehilfen",153,627
"ISCO-68_SOEPdepr","de","628","Landmaschinenfuehrer",154,628
"ISCO-68_SOEPdepr","de","629","Land- und tierwirtschaftliche Arbeitskra",155,629
"ISCO-68_SOEPdepr","de","631","Holzhauungsbetriebsarbeiter",156,631
"ISCO-68_SOEPdepr","de","632","Waldpfleger",157,632
"ISCO-68_SOEPdepr","de","641","Fischer",158,641
"ISCO-68_SOEPdepr","de","649","Fischer, Jaeger und verwandte Berufe",159,649
"ISCO-68_SOEPdepr","de","660","trifft nicht zu, nur maschinelle Codier",160,660
"ISCO-68_SOEPdepr","de","700","Aufsichtskraefte der Produktion und Allg",161,700
"ISCO-68_SOEPdepr","de","711","Bergleute, Steinbrecher",162,711
"ISCO-68_SOEPdepr","de","712","Mineral- und Steinaufbereiter",163,712
"ISCO-68_SOEPdepr","de","713","Tiefbohrer und verwandte Berufe",164,713
"ISCO-68_SOEPdepr","de","721","Ofenmaenner fuer Metall",165,721
"ISCO-68_SOEPdepr","de","722","Walzwerker",166,722
"ISCO-68_SOEPdepr","de","723","Metallschmelzer, Metallwiedererwaermer",167,723
"ISCO-68_SOEPdepr","de","724","Metallgiesser, Formgiesser",168,724
"ISCO-68_SOEPdepr","de","725","Former, Kernmacher, fuer Metallguss",169,725
"ISCO-68_SOEPdepr","de","726","Metallhaerter, Metallvergueter",170,726
"ISCO-68_SOEPdepr","de","727","Metallzieher, Presszieher",171,727
"ISCO-68_SOEPdepr","de","728","Elektrolytisierer, Metallisierer",172,728
"ISCO-68_SOEPdepr","de","729","Huettenwerker, Giesser, Haerter und verw",173,729
"ISCO-68_SOEPdepr","de","731","Holztrockner, Holzkonservierer",174,731
"ISCO-68_SOEPdepr","de","732","Saeger, Sperrholzmacher und verw. Holzve",175,732
"ISCO-68_SOEPdepr","de","733","Papierbreihersteller",176,733
"ISCO-68_SOEPdepr","de","734","Papierhersteller",177,734
"ISCO-68_SOEPdepr","de","741","Brecher, Mueller, Mischer",178,741
"ISCO-68_SOEPdepr","de","742","Kocher, Roester und verwandte Warmbehand",179,742
"ISCO-68_SOEPdepr","de","743","Filterbediener, Separatorenbediener",180,743
"ISCO-68_SOEPdepr","de","744","Destillierer, Reaktionsgefaessbediener",181,744
"ISCO-68_SOEPdepr","de","745","Erdoelraffinierer",182,745
"ISCO-68_SOEPdepr","de","749","Chemiewerker und verwandte Berufe",183,749
"ISCO-68_SOEPdepr","de","751","Spinnvorbereiter",184,751
"ISCO-68_SOEPdepr","de","752","Spinner, Spuler",185,752
"ISCO-68_SOEPdepr","de","753","Web- und Strickmaschineneinrichter, Must",186,753
"ISCO-68_SOEPdepr","de","754","Weber und verwandte Berufe",187,754
"ISCO-68_SOEPdepr","de","755","Stricker, Wirker",188,755
"ISCO-68_SOEPdepr","de","756","Bleicher, Faerber, Textilendfertiger",189,756
"ISCO-68_SOEPdepr","de","759","Spinner, Weber, Stricker, Faerber und ve",190,759
"ISCO-68_SOEPdepr","de","761","Gerber, Fellzurichter",191,761
"ISCO-68_SOEPdepr","de","762","Rauchwarenzurichter",192,762
"ISCO-68_SOEPdepr","de","771","Getreidemueller und verwandte Berufe",193,771
"ISCO-68_SOEPdepr","de","772","Zuckerhersteller, Zuckerraffinierer",194,772
"ISCO-68_SOEPdepr","de","773","Fleischer, Fleischherrichter",195,773
"ISCO-68_SOEPdepr","de","774","Nahrungsmittelkonservierer",196,774
"ISCO-68_SOEPdepr","de","775","Molkereiwarenhersteller",197,775
"ISCO-68_SOEPdepr","de","776","Baecker, Konditoren, Sue_warenhersteller",198,776
"ISCO-68_SOEPdepr","de","777","Tee-, Kaffee-, Kakaoaufbereiter",199,777
"ISCO-68_SOEPdepr","de","778","Brauer, Wein- und Getraenkehersteller",200,778
"ISCO-68_SOEPdepr","de","779","Nahrungsmittel-, Getraenkehersteller",201,779
"ISCO-68_SOEPdepr","de","781","Tabakaufbereiter",202,781
"ISCO-68_SOEPdepr","de","782","Zigarrenmacher",203,782
"ISCO-68_SOEPdepr","de","783","Zigarettenmacher",204,783
"ISCO-68_SOEPdepr","de","789","Tabakaufbereiter, Tabakwarenhersteller",205,789
"ISCO-68_SOEPdepr","de","791","Schneider, Damenschneiderinnen",206,791
"ISCO-68_SOEPdepr","de","792","Kuerschner und verwandte Berufe",207,792
"ISCO-68_SOEPdepr","de","793","Putzmacherinnen, Hutmacher",208,793
"ISCO-68_SOEPdepr","de","794","Schnittmustermacher, Zuschneider",209,794
"ISCO-68_SOEPdepr","de","795","Naeher, Sticker",210,795
"ISCO-68_SOEPdepr","de","796","Polsterer und verwandte Berufe",211,796
"ISCO-68_SOEPdepr","de","799","Schneider,-innen, Naeher, Polsterer und",212,799
"ISCO-68_SOEPdepr","de","801","Schuhmacher, Schuhinstandsetzer",213,801
"ISCO-68_SOEPdepr","de","802","Schuhlederzuschneider, Schuhnaeher und v",214,802
"ISCO-68_SOEPdepr","de","803","Lederwarenmacher",215,803
"ISCO-68_SOEPdepr","de","811","Moebeltischler",216,811
"ISCO-68_SOEPdepr","de","812","Holzbearbeitungsmaschinenbediener",217,812
"ISCO-68_SOEPdepr","de","819","Moebeltischler und verwandte Holzbearbei",218,819
"ISCO-68_SOEPdepr","de","820","Steinbearbeiter, Steinbildhauer",219,820
"ISCO-68_SOEPdepr","de","831","Grobschmiede, Hammerschmiede, Schmiedepr",220,831
"ISCO-68_SOEPdepr","de","832","Werkzeugmacher, Metallschablonenmacher,",221,832
"ISCO-68_SOEPdepr","de","833","Werkzeugmaschineneinrichter und -bediene",222,833
"ISCO-68_SOEPdepr","de","834","Werkzeugmaschinenbediener, -handwerker",223,834
"ISCO-68_SOEPdepr","de","835","Metallschleifer, Metallpolierer, Werkzeu",224,835
"ISCO-68_SOEPdepr","de","839","Grobschmiede, Werkzeugmacher, Werkzeugma",225,839
"ISCO-68_SOEPdepr","de","841","Maschinenschlosser und Maschinenmonteure",226,841
"ISCO-68_SOEPdepr","de","842","Uhrmacher- und Praezisionsinstrumentenm",227,842
"ISCO-68_SOEPdepr","de","843","Kraftfahrzeugmechaniker",228,843
"ISCO-68_SOEPdepr","de","844","Flugmotorenmechaniker",229,844
"ISCO-68_SOEPdepr","de","849","Maschinenschlosser, -monteure, Praezisio",230,849
"ISCO-68_SOEPdepr","de","851","Elektromechaniker",231,851
"ISCO-68_SOEPdepr","de","852","Elektronikmechaniker",232,852
"ISCO-68_SOEPdepr","de","853","Elektro- und Elektronikgeraetemonteure",233,853
"ISCO-68_SOEPdepr","de","854","Rundfunk- und Fernsehreparaturmechaniker",234,854
"ISCO-68_SOEPdepr","de","855","Elektriker, Elektroinstallateure",235,855
"ISCO-68_SOEPdepr","de","856","Telephon- und Telegrapheninstallateure",236,856
"ISCO-68_SOEPdepr","de","857","Elektrofreileitungsmonteure, Elektrokabe",237,857
"ISCO-68_SOEPdepr","de","859","Elektromechaniker und verw. Elektro- u.",238,859
"ISCO-68_SOEPdepr","de","861","Sendestationsbediener",239,861
"ISCO-68_SOEPdepr","de","862","Tonaufnahme- und Tonwiedergabeanl.-bedie",240,862
"ISCO-68_SOEPdepr","de","871","Rohrinstallateure, Rohrschlosser",241,871
"ISCO-68_SOEPdepr","de","872","Schweisser, Schneidbrenner",242,872
"ISCO-68_SOEPdepr","de","873","Blechkaltverformer",243,873
"ISCO-68_SOEPdepr","de","874","Baumetallverformer, Metallbaumonteure",244,874
