"sourceConceptScheme","sourceConcept",,"targetConceptScheme","targetConcept","prob","comment","targetConceptScheme","Länge","searchfor","targetConceptScheme","targetConcept","prob","comment",,"Concept","ConceptScheme","prefLabel",,,,
"ISCO-88_COM","1","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",,,,,,"1000","1","ISCO-88_ILO","1",1,,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS","1","ISCO-88_ILO","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS","1","1","ISCO-88_ILO","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS"
"ISCO-88_COM","11","Legislators and senior officials",,,,,,"1100","11","ISCO-88_ILO","11",1,,"LEGISLATORS AND SENIOR OFFICIALS","11","ISCO-88_ILO","LEGISLATORS AND SENIOR OFFICIALS","11","11","ISCO-88_ILO","LEGISLATORS AND SENIOR OFFICIALS"
"ISCO-88_COM","111","Legislators and senior government officials",,,,,,"1110","111","ISCO-88_ILO","111",1,,"LEGISLATORS","111","ISCO-88_ILO","LEGISLATORS","111","111","ISCO-88_ILO","LEGISLATORS"
"ISCO-88_COM","1110","Legislators and senior government officials",,,,,,"1110","1110","ISCO-88_ILO","1110",1,,"Legislators","1110","ISCO-88_ILO","Legislators","1110","1110","ISCO-88_ILO","Legislators"
"ISCO-88_COM","114","Senior officials of special-interest organisations",,,,,,"1140","114","ISCO-88_ILO","114",1,,"SENIOR OFFICIALS OF SPECIAL-INTEREST ORGANISATIONS","112","ISCO-88_ILO","SENIOR GOVERNMENT OFFICIALS","#N/A","112","ISCO-88_ILO","SENIOR GOVERNMENT OFFICIALS"
"ISCO-88_COM","1141","Senior officials of political party organisations",,,,,,"1141","1141","ISCO-88_ILO","1141",1,,"Senior officials of political-party organisations","1120","ISCO-88_ILO","Senior government officials","#N/A","1120","ISCO-88_ILO","Senior government officials"
"ISCO-88_COM","1142","Senior officials of employers', workers' and other economic-interest organisations",,,,,,"1142","1142","ISCO-88_ILO","1142",1,,"Senior officials of employers', workers' and other economic-interest organisations","113","ISCO-88_ILO","TRADITIONAL CHIEFS AND HEADS OF VILLAGES","#N/A","113","ISCO-88_ILO","TRADITIONAL CHIEFS AND HEADS OF VILLAGES"
"ISCO-88_COM","1143","Senior officials of humanitarian and other special-interest organisations",,,,,,"1143","1143","ISCO-88_ILO","1143",1,,"Senior officials of humanitarian and other special-interest organisations","1130","ISCO-88_ILO","Traditional chiefs and heads of villages","#N/A","1130","ISCO-88_ILO","Traditional chiefs and heads of villages"
"ISCO-88_COM","12","Corporate managers",,,,,,"1200","12","ISCO-88_ILO","12",1,,"CORPORATE MANAGERS (This group is intended to include persons who - as directors, chief executives or department managers - manage enterprises or organisations, or departments, requiring a total of three or more managers.)","114","ISCO-88_ILO","SENIOR OFFICIALS OF SPECIAL-INTEREST ORGANISATIONS","114","114","ISCO-88_ILO","SENIOR OFFICIALS OF SPECIAL-INTEREST ORGANISATIONS"
"ISCO-88_COM","121","Directors and chief executives",,,,,,"1210","121","ISCO-88_ILO","121",1,,"DIRECTORS AND CHIEF EXECUTIVES","1141","ISCO-88_ILO","Senior officials of political-party organisations","1141","1141","ISCO-88_ILO","Senior officials of political-party organisations"
"ISCO-88_COM","1210","Directors and chief executives",,,,,,"1210","1210","ISCO-88_ILO","1210",1,,"Directors and chief executives","1142","ISCO-88_ILO","Senior officials of employers', workers' and other economic-interest organisations","1142","1142","ISCO-88_ILO","Senior officials of employers', workers' and other economic-interest organisations"
"ISCO-88_COM","122","Production and operations managers",,,,,,"1220","122","ISCO-88_ILO","122",1,,"PRODUCTION AND OPERATIONS DEPARTMENT MANAGERS","1143","ISCO-88_ILO","Senior officials of humanitarian and other special-interest organisations","1143","1143","ISCO-88_ILO","Senior officials of humanitarian and other special-interest organisations"
"ISCO-88_COM","1221","Production and operations managers in agriculture, hunting, forestry and fishing",,,,,,"1221","1221","ISCO-88_ILO","1221",1,,"Production and operations department managers in agriculture, hunting, forestry and fishing","12","ISCO-88_ILO","CORPORATE MANAGERS (This group is intended to include persons who - as directors, chief executives or department managers - manage enterprises or organisations, or departments, requiring a total of three or more managers.)","12","12","ISCO-88_ILO","CORPORATE MANAGERS (This group is intended to include persons who - as directors, chief executives or department managers - manage enterprises or organisations, or departments, requiring a total of three or more managers.)"
"ISCO-88_COM","1222","Production and operations managers in manufacturing",,,,,,"1222","1222","ISCO-88_ILO","1222",1,,"Production and operations department managers in manufacturing","121","ISCO-88_ILO","DIRECTORS AND CHIEF EXECUTIVES","121","121","ISCO-88_ILO","DIRECTORS AND CHIEF EXECUTIVES"
