sourceConceptScheme,sourceConcept,targetConceptScheme,targetConcept,aux1,aux2,prob
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","V",0,0,1
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","V",0,10,1
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","I",2,10,1
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","IVb",2,0,1
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","IVa",2,1,1
"ISCO-88_Ganzeboom","110","EGP_Ganzeboom","V",0,1,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",0,10,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",0,1,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",2,10,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",0,0,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",2,1,1
"ISCO-88_Ganzeboom","1000","EGP_Ganzeboom","I",2,0,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",0,1,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",2,10,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",0,0,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",2,0,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",0,10,1
"ISCO-88_Ganzeboom","1100","EGP_Ganzeboom","I",2,1,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",0,10,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",0,0,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",2,1,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",2,10,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",0,1,1
"ISCO-88_Ganzeboom","1110","EGP_Ganzeboom","I",2,0,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",2,1,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",2,10,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",0,1,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",0,0,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",0,10,1
"ISCO-88_Ganzeboom","1120","EGP_Ganzeboom","I",2,0,1
"ISCO-88_Ganzeboom","1130","EGP_Ganzeboom","II",2,1,1
"ISCO-88_Ganzeboom","1130","EGP_Ganzeboom","I",0,10,1
"ISCO-88_Ganzeboom","1130","EGP_Ganzeboom","II",2,0,1
