sourceConceptScheme,sourceConcept,targetConceptScheme,targetConcept,prob,comment
ISCO-88_Ganzeboom,110,ISEI,56,1,The targetConcept of sourceConcept 110 „[armed forces]“ is copied from sourceConcept 3452 „[armed forces non-commissioned officers + army nfs]“. In the original crosswalk from Ganzeboom sourceConcept „(0)110 armed forces“ is a dead end regarding to further derivations.
ISCO-88_Ganzeboom,1000,ISEI,55,1,
ISCO-88_Ganzeboom,1100,ISEI,70,1,
ISCO-88_Ganzeboom,1110,ISEI,77,1,
ISCO-88_Ganzeboom,1120,ISEI,77,1,
ISCO-88_Ganzeboom,1130,ISEI,66,1,
ISCO-88_Ganzeboom,1140,ISEI,58,1,
ISCO-88_Ganzeboom,1141,ISEI,58,1,
ISCO-88_Ganzeboom,1142,ISEI,58,1,
ISCO-88_Ganzeboom,1143,ISEI,58,1,
ISCO-88_Ganzeboom,1200,ISEI,68,1,
ISCO-88_Ganzeboom,1210,ISEI,70,1,
ISCO-88_Ganzeboom,1220,ISEI,67,1,
ISCO-88_Ganzeboom,1221,ISEI,67,1,
ISCO-88_Ganzeboom,1222,ISEI,67,1,
ISCO-88_Ganzeboom,1223,ISEI,67,1,
ISCO-88_Ganzeboom,1224,ISEI,59,1,
ISCO-88_Ganzeboom,1225,ISEI,59,1,
ISCO-88_Ganzeboom,1226,ISEI,59,1,
ISCO-88_Ganzeboom,1227,ISEI,87,1,
ISCO-88_Ganzeboom,1228,ISEI,59,1,
ISCO-88_Ganzeboom,1229,ISEI,67,1,
ISCO-88_Ganzeboom,1230,ISEI,61,1,
ISCO-88_Ganzeboom,1231,ISEI,69,1,
ISCO-88_Ganzeboom,1232,ISEI,69,1,
ISCO-88_Ganzeboom,1233,ISEI,56,1,
ISCO-88_Ganzeboom,1234,ISEI,69,1,
ISCO-88_Ganzeboom,1235,ISEI,69,1,
ISCO-88_Ganzeboom,1236,ISEI,69,1,
ISCO-88_Ganzeboom,1237,ISEI,69,1,
ISCO-88_Ganzeboom,1239,ISEI,69,1,
ISCO-88_Ganzeboom,1240,ISEI,58,1,
ISCO-88_Ganzeboom,1250,ISEI,64,1,
ISCO-88_Ganzeboom,1251,ISEI,70,1,
ISCO-88_Ganzeboom,1252,ISEI,60,1,
ISCO-88_Ganzeboom,1300,ISEI,51,1,
ISCO-88_Ganzeboom,1310,ISEI,51,1,
ISCO-88_Ganzeboom,1311,ISEI,43,1,
ISCO-88_Ganzeboom,1312,ISEI,56,1,
ISCO-88_Ganzeboom,1313,ISEI,51,1,
ISCO-88_Ganzeboom,1314,ISEI,49,1,
ISCO-88_Ganzeboom,1315,ISEI,44,1,
ISCO-88_Ganzeboom,1316,ISEI,51,1,
ISCO-88_Ganzeboom,1317,ISEI,51,1,
ISCO-88_Ganzeboom,1318,ISEI,51,1,
ISCO-88_Ganzeboom,1319,ISEI,51,1,
ISCO-88_Ganzeboom,2000,ISEI,70,1,
ISCO-88_Ganzeboom,2100,ISEI,69,1,
ISCO-88_Ganzeboom,2110,ISEI,74,1,
ISCO-88_Ganzeboom,2111,ISEI,74,1,
ISCO-88_Ganzeboom,2112,ISEI,74,1,
ISCO-88_Ganzeboom,2113,ISEI,74,1,
ISCO-88_Ganzeboom,2114,ISEI,74,1,
ISCO-88_Ganzeboom,2120,ISEI,71,1,
ISCO-88_Ganzeboom,2121,ISEI,71,1,
ISCO-88_Ganzeboom,2122,ISEI,71,1,
ISCO-88_Ganzeboom,2130,ISEI,71,1,
ISCO-88_Ganzeboom,2131,ISEI,71,1,
ISCO-88_Ganzeboom,2132,ISEI,71,1,
ISCO-88_Ganzeboom,2139,ISEI,71,1,
ISCO-88_Ganzeboom,2140,ISEI,73,1,
ISCO-88_Ganzeboom,2141,ISEI,69,1,
ISCO-88_Ganzeboom,2142,ISEI,69,1,
ISCO-88_Ganzeboom,2143,ISEI,68,1,
ISCO-88_Ganzeboom,2144,ISEI,68,1,
ISCO-88_Ganzeboom,2145,ISEI,67,1,
ISCO-88_Ganzeboom,2146,ISEI,71,1,
ISCO-88_Ganzeboom,2147,ISEI,67,1,
ISCO-88_Ganzeboom,2148,ISEI,56,1,
ISCO-88_Ganzeboom,2149,ISEI,69,1,
ISCO-88_Ganzeboom,2200,ISEI,80,1,
ISCO-88_Ganzeboom,2210,ISEI,78,1,
ISCO-88_Ganzeboom,2211,ISEI,77,1,
ISCO-88_Ganzeboom,2212,ISEI,77,1,
ISCO-88_Ganzeboom,2213,ISEI,79,1,
ISCO-88_Ganzeboom,2220,ISEI,85,1,
ISCO-88_Ganzeboom,2221,ISEI,88,1,
ISCO-88_Ganzeboom,2222,ISEI,85,1,
ISCO-88_Ganzeboom,2223,ISEI,83,1,
ISCO-88_Ganzeboom,2224,ISEI,74,1,
ISCO-88_Ganzeboom,2229,ISEI,85,1,
ISCO-88_Ganzeboom,2230,ISEI,43,1,
