sourceConceptScheme,sourceConcept,targetConceptScheme,targetConcept,prob,comment
"ISCO-88_Ganzeboom","110","MPS88","85.3",1,""
"ISCO-88_Ganzeboom","1110","MPS88","160.3",1,""
"ISCO-88_Ganzeboom","1120","MPS88","160.3",1,""
"ISCO-88_Ganzeboom","1130","MPS88","131.1",1,""
"ISCO-88_Ganzeboom","1141","MPS88","119.2",1,""
"ISCO-88_Ganzeboom","1142","MPS88","121.3",1,""
"ISCO-88_Ganzeboom","1143","MPS88","119.2",1,""
"ISCO-88_Ganzeboom","1210","MPS88","150.8",1,""
"ISCO-88_Ganzeboom","1221","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1222","MPS88","93.9",1,""
"ISCO-88_Ganzeboom","1223","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1224","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1225","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1226","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1227","MPS88","153.5",1,""
"ISCO-88_Ganzeboom","1228","MPS88","112.3",1,""
"ISCO-88_Ganzeboom","1229","MPS88","153.8",1,""
"ISCO-88_Ganzeboom","1231","MPS88","131.6",1,""
"ISCO-88_Ganzeboom","1232","MPS88","145.2",1,""
"ISCO-88_Ganzeboom","1233","MPS88","125.4",1,""
"ISCO-88_Ganzeboom","1234","MPS88","135.8",1,""
"ISCO-88_Ganzeboom","1235","MPS88","160.5",1,""
"ISCO-88_Ganzeboom","1236","MPS88","149.6",1,""
"ISCO-88_Ganzeboom","1237","MPS88","135.8",1,""
"ISCO-88_Ganzeboom","1239","MPS88","134.8",1,""
"ISCO-88_Ganzeboom","1311","MPS88","104.4",1,""
"ISCO-88_Ganzeboom","1312","MPS88","108.7",1,""
"ISCO-88_Ganzeboom","1313","MPS88","101.1",1,""
"ISCO-88_Ganzeboom","1314","MPS88","105.6",1,""
"ISCO-88_Ganzeboom","1315","MPS88","81.6",1,""
"ISCO-88_Ganzeboom","1316","MPS88","81.3",1,""
"ISCO-88_Ganzeboom","1317","MPS88","144.5",1,""
"ISCO-88_Ganzeboom","1318","MPS88","104.4",1,""
"ISCO-88_Ganzeboom","1319","MPS88","124.1",1,""
"ISCO-88_Ganzeboom","2111","MPS88","141.9",1,""
"ISCO-88_Ganzeboom","2112","MPS88","141.9",1,""
"ISCO-88_Ganzeboom","2113","MPS88","142.5",1,""
"ISCO-88_Ganzeboom","2114","MPS88","141.9",1,""
"ISCO-88_Ganzeboom","2121","MPS88","129.6",1,""
"ISCO-88_Ganzeboom","2122","MPS88","129.6",1,""
"ISCO-88_Ganzeboom","2131","MPS88","113.8",1,""
"ISCO-88_Ganzeboom","2132","MPS88","119.9",1,""
"ISCO-88_Ganzeboom","2139","MPS88","128",1,""
"ISCO-88_Ganzeboom","2141","MPS88","133.7",1,""
"ISCO-88_Ganzeboom","2142","MPS88","129.1",1,""
"ISCO-88_Ganzeboom","2143","MPS88","126.2",1,""
"ISCO-88_Ganzeboom","2144","MPS88","129.5",1,""
"ISCO-88_Ganzeboom","2145","MPS88","130.4",1,""
"ISCO-88_Ganzeboom","2146","MPS88","133.4",1,""
"ISCO-88_Ganzeboom","2147","MPS88","131.5",1,""
"ISCO-88_Ganzeboom","2148","MPS88","120.2",1,""
"ISCO-88_Ganzeboom","2149","MPS88","135.1",1,""
"ISCO-88_Ganzeboom","2211","MPS88","138.6",1,""
"ISCO-88_Ganzeboom","2212","MPS88","134.6",1,""
"ISCO-88_Ganzeboom","2213","MPS88","134.6",1,""
"ISCO-88_Ganzeboom","2221","MPS88","179.6",1,""
"ISCO-88_Ganzeboom","2222","MPS88","160.5",1,""
"ISCO-88_Ganzeboom","2223","MPS88","160.5",1,""
"ISCO-88_Ganzeboom","2224","MPS88","173.3",1,""
"ISCO-88_Ganzeboom","2229","MPS88","160.5",1,""
"ISCO-88_Ganzeboom","2230","MPS88","70.9",1,""
"ISCO-88_Ganzeboom","2310","MPS88","159.8",1,""
"ISCO-88_Ganzeboom","2320","MPS88","149.2",1,""
"ISCO-88_Ganzeboom","2331","MPS88","130.3",1,""
"ISCO-88_Ganzeboom","2332","MPS88","67.8",1,""
"ISCO-88_Ganzeboom","2340","MPS88","149.2",1,""
"ISCO-88_Ganzeboom","2351","MPS88","149.2",1,""
"ISCO-88_Ganzeboom","2352","MPS88","149.2",1,""
"ISCO-88_Ganzeboom","2359","MPS88","149.2",1,""
"ISCO-88_Ganzeboom","2411","MPS88","129.2",1,""
"ISCO-88_Ganzeboom","2412","MPS88","96.5",1,""
"ISCO-88_Ganzeboom","2419","MPS88","126.7",1,""
"ISCO-88_Ganzeboom","2421","MPS88","170.9",1,""
"ISCO-88_Ganzeboom","2422","MPS88","186.8",1,""
"ISCO-88_Ganzeboom","2429","MPS88","140.9",1,""
"ISCO-88_Ganzeboom","2431","MPS88","143.2",1,""
"ISCO-88_Ganzeboom","2432","MPS88","143.2",1,""
"ISCO-88_Ganzeboom","2441","MPS88","132",1,""
"ISCO-88_Ganzeboom","2442","MPS88","117.2",1,""
"ISCO-88_Ganzeboom","2443","MPS88","117.2",1,""
"ISCO-88_Ganzeboom","2444","MPS88","117.2",1,""
"ISCO-88_Ganzeboom","2445","MPS88","147.1",1,""
"ISCO-88_Ganzeboom","2446","MPS88","91.5",1,""
"ISCO-88_Ganzeboom","2451","MPS88","113",1,""
"ISCO-88_Ganzeboom","2452","MPS88","110.7",1,""
"ISCO-88_Ganzeboom","2453","MPS88","101.4",1,""
"ISCO-88_Ganzeboom","2454","MPS88","110.7",1,""
"ISCO-88_Ganzeboom","2455","MPS88","110.7",1,""
"ISCO-88_Ganzeboom","2460","MPS88","142.2",1,""
"ISCO-88_Ganzeboom","3111","MPS88","69.3",1,""
