ConceptScheme,Concept,prefLabel,sortorder
"ISCO88_Ganzeboom","1000","legislators, senior officials & managers",1
"ISCO88_Ganzeboom","1100","legislators & senior officials",2
"ISCO88_Ganzeboom","1110","legislators",3
"ISCO88_Ganzeboom","1120","senior government officials",4
"ISCO88_Ganzeboom","1130","traditional chiefs & heads of villages",5
"ISCO88_Ganzeboom","1140","senior officials special-interest organisations",6
"ISCO88_Ganzeboom","1141","senior officials political-party organisations",7
"ISCO88_Ganzeboom","1142","senior officials economic-interest organisations",8
"ISCO88_Ganzeboom","1143","senior officials special-interest organisations",9
"ISCO88_Ganzeboom","1200","corporate managers [large enterprise]",10
"ISCO88_Ganzeboom","1210","directors & chief executives [large enterprise]",11
"ISCO88_Ganzeboom","1220","department managers [large enterprise][production-operation]",12
"ISCO88_Ganzeboom","1221","department managers agriculture, hunting, forestry & fishlng",13
"ISCO88_Ganzeboom","1222","department managers manufacturing",14
"ISCO88_Ganzeboom","1223","department managers construction",15
"ISCO88_Ganzeboom","1224","department managers wholesale & retail trade",16
"ISCO88_Ganzeboom","1225","department managers restaurants & hotels",17
"ISCO88_Ganzeboom","1226","department managers transport, storage & communications",18
"ISCO88_Ganzeboom","1227","department managers business services",19
"ISCO88_Ganzeboom","1228","department managers personal care, cleaning etc",20
"ISCO88_Ganzeboom","1229","operations department managers nec",21
"ISCO88_Ganzeboom","1230","other department managers [large enterprise]",22
"ISCO88_Ganzeboom","1231","finance & administration department managers",23
"ISCO88_Ganzeboom","1232","personnel & industrial relations department managers",24
"ISCO88_Ganzeboom","1233","sales & marketing department managers",25
"ISCO88_Ganzeboom","1234","advertising & public relations department managers",26
"ISCO88_Ganzeboom","1235","supply & distribution department managers",27
"ISCO88_Ganzeboom","1236","computing services department managers",28
"ISCO88_Ganzeboom","1237","research & development department managers",29
"ISCO88_Ganzeboom","1239","other department managers nec",30
"ISCO88_Ganzeboom","1240","[office manager]",31
"ISCO88_Ganzeboom","1250","[military officers]",32
"ISCO88_Ganzeboom","1251","[high military officers]",33
"ISCO88_Ganzeboom","1252","[lower military officers]",34
"ISCO88_Ganzeboom","1300","general managers [small enterprise]",35
"ISCO88_Ganzeboom","1310","general managers [small enterprise]",36
"ISCO88_Ganzeboom","1311","general managers agriculture, hunting forestry & fishing",37
"ISCO88_Ganzeboom","1312","general managers manufacturing",38
"ISCO88_Ganzeboom","1313","general managers construction",39
"ISCO88_Ganzeboom","1314","general managers wholesale & retail trade",40
"ISCO88_Ganzeboom","1315","general managers restaurants & hotels",41
"ISCO88_Ganzeboom","1316","general managers transport, storage & communications",42
"ISCO88_Ganzeboom","1317","general managers business services",43
"ISCO88_Ganzeboom","1318","general managers personal care, cleaning etc services",44
"ISCO88_Ganzeboom","1319","general managers nec",45
"ISCO88_Ganzeboom","2000","professionals",46
"ISCO88_Ganzeboom","2100","physical, mathematical & engineering science professionals",47
"ISCO88_Ganzeboom","2110","physicists, chemists & related professionals",48
"ISCO88_Ganzeboom","2111","physicists & astronomers",49
"ISCO88_Ganzeboom","2112","meteorologists",50
"ISCO88_Ganzeboom","2113","chemists",51
"ISCO88_Ganzeboom","2114","geologists & geophysicists",52
"ISCO88_Ganzeboom","2120","mathematicians, statisticians etc professionals",53
"ISCO88_Ganzeboom","2121","mathematicians etc professionals",54
"ISCO88_Ganzeboom","2122","statisticians",55
"ISCO88_Ganzeboom","2130","computing professionals",56
"ISCO88_Ganzeboom","2131","computer systems designers & analysts",57
"ISCO88_Ganzeboom","2132","computer programmers",58
"ISCO88_Ganzeboom","2139","computing professionals nec",59
"ISCO88_Ganzeboom","2140","architects, engineers etc professionals",60
"ISCO88_Ganzeboom","2141","architects town & traffic planners",61
"ISCO88_Ganzeboom","2142","civil engineers",62
"ISCO88_Ganzeboom","2143","electrical engineers",63
"ISCO88_Ganzeboom","2144","electronics & telecommunications engineers",64
"ISCO88_Ganzeboom","2145","mechanical engineers",65
"ISCO88_Ganzeboom","2146","chemical engineers",66
"ISCO88_Ganzeboom","2147","mining engineers metallurgists etc professionals",67
"ISCO88_Ganzeboom","2148","cartographers & surveyors",68
"ISCO88_Ganzeboom","2149","architects engineers etc professionals nec",69
"ISCO88_Ganzeboom","2200","life science & health professionals",70
"ISCO88_Ganzeboom","2210","life science professionals",71
"ISCO88_Ganzeboom","2211","biologists, botanists zoologists etc professionals",72
"ISCO88_Ganzeboom","2212","pharmacologists, pathologists etc professlonals",73
"ISCO88_Ganzeboom","2213","agronomists etc professionals",74
"ISCO88_Ganzeboom","2220","health professionals (except nursing)",75
"ISCO88_Ganzeboom","2221","medical doctors",76
"ISCO88_Ganzeboom","2222","dentists",77
"ISCO88_Ganzeboom","2223","veterinarians",78
"ISCO88_Ganzeboom","2224","pharmacists",79
"ISCO88_Ganzeboom","2229","health professionals except nursing nec",80
"ISCO88_Ganzeboom","2230","nursing & midwifery professionals",81
"ISCO88_Ganzeboom","2300","teaching professionals",82
"ISCO88_Ganzeboom","2310","higher education teaching professionals",83
"ISCO88_Ganzeboom","2320","secondary education teaching professionals",84
"ISCO88_Ganzeboom","2321","[second academ teacher]",85
"ISCO88_Ganzeboom","2322","[second voc teacher]",86
"ISCO88_Ganzeboom","2323","[middle school teacher]",87
"ISCO88_Ganzeboom","2330","primary & pre-primary education teaching professionals",88
"ISCO88_Ganzeboom","2331","primary education teaching professionals",89
"ISCO88_Ganzeboom","2332","pre-primary education teaching professionals",90
"ISCO88_Ganzeboom","2340","special education teaching professionals",91
"ISCO88_Ganzeboom","2350","other teaching professionals",92
"ISCO88_Ganzeboom","2351","education methods specialists",93
"ISCO88_Ganzeboom","2352","school inspectors",94
"ISCO88_Ganzeboom","2359","other teaching professionals nec",95
"ISCO88_Ganzeboom","2400","other professionals",96
"ISCO88_Ganzeboom","2410","business professionals",97
"ISCO88_Ganzeboom","2411","accountants",98
"ISCO88_Ganzeboom","2412","personnel & careers professionals",99
"ISCO88_Ganzeboom","2419","business professionals nec",100
"ISCO88_Ganzeboom","2420","legal professionals",101
"ISCO88_Ganzeboom","2421","lawyers",102
"ISCO88_Ganzeboom","2422","judges",103
"ISCO88_Ganzeboom","2429","legal professionals nec",104
"ISCO88_Ganzeboom","2430","archivists, librarians etc information professionals",105
"ISCO88_Ganzeboom","2431","archivists & curators",106
"ISCO88_Ganzeboom","2432","librarians etc information professionals",107
"ISCO88_Ganzeboom","2440","social science etc professionals",108
"ISCO88_Ganzeboom","2441","economists",109
"ISCO88_Ganzeboom","2442","sociologists anthropologists etc professionals",110
"ISCO88_Ganzeboom","2443","philosophers, historians & political scientists",111
"ISCO88_Ganzeboom","2444","philologists translators & interpreters",112
"ISCO88_Ganzeboom","2445","psychologists",113
"ISCO88_Ganzeboom","2446","social work professionals",114
