"ConceptScheme","Concept","prefLabel","sortorder"
"ISCO-88_ILO","1","LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1
"ISCO-88_ILO","11","LEGISLATORS AND SENIOR OFFICIALS",2
"ISCO-88_ILO","111","LEGISLATORS",3
"ISCO-88_ILO","1110","Legislators",4
"ISCO-88_ILO","112","SENIOR GOVERNMENT OFFICIALS",5
"ISCO-88_ILO","1120","Senior government officials",6
"ISCO-88_ILO","113","TRADITIONAL CHIEFS AND HEADS OF VILLAGES",7
"ISCO-88_ILO","1130","Traditional chiefs and heads of villages",8
"ISCO-88_ILO","114","SENIOR OFFICIALS OF SPECIAL-INTEREST ORGANISATIONS",9
"ISCO-88_ILO","1141","Senior officials of political-party organisations",10
"ISCO-88_ILO","1142","Senior officials of employers', workers' and other economic-interest organisations",11
"ISCO-88_ILO","1143","Senior officials of humanitarian and other special-interest organisations",12
"ISCO-88_ILO","12","CORPORATE MANAGERS (This group is intended to include persons who - as directors, chief executives or department managers - manage enterprises or organisations, or departments, requiring a total of three or more managers.)",13
"ISCO-88_ILO","121","DIRECTORS AND CHIEF EXECUTIVES",14
"ISCO-88_ILO","1210","Directors and chief executives",15
"ISCO-88_ILO","122","PRODUCTION AND OPERATIONS DEPARTMENT MANAGERS",16
"ISCO-88_ILO","1221","Production and operations department managers in agriculture, hunting, forestry and fishing",17
"ISCO-88_ILO","1222","Production and operations department managers in manufacturing",18
"ISCO-88_ILO","1223","Production and operations department managers in construction",19
"ISCO-88_ILO","1224","Production and operations department managers in wholesale and retail trade",20
"ISCO-88_ILO","1225","Production and operations department managers in restaurants and hotels",21
"ISCO-88_ILO","1226","Production and operations department managers in transport, storage and communications",22
"ISCO-88_ILO","1227","Production and operations department managers in business services",23
"ISCO-88_ILO","1228","Production and operations department managers in personal care, cleaning and related services",24
"ISCO-88_ILO","1229","Production and operations department managers not elsewhere classified",25
"ISCO-88_ILO","123","OTHER DEPARTMENT MANAGERS",26
"ISCO-88_ILO","1231","Finance and administration department managers",27
"ISCO-88_ILO","1232","Personnel and industrial relations department managers",28
"ISCO-88_ILO","1233","Sales and marketing department managers",29
"ISCO-88_ILO","1234","Advertising and public relations department managers",30
"ISCO-88_ILO","1235","Supply and distribution department managers",31
"ISCO-88_ILO","1236","Computing services department managers",32
"ISCO-88_ILO","1237","Research and development department managers",33
"ISCO-88_ILO","1239","Other department managers not elsewhere classified",34
"ISCO-88_ILO","13","GENERAL MANAGERS",35
"ISCO-88_ILO","131","GENERAL MANAGERS",36
"ISCO-88_ILO","1311","General managers in agriculture, hunting, forestry/ and fishing",37
"ISCO-88_ILO","1312","General managers in manufacturing",38
"ISCO-88_ILO","1313","General managers in construction",39
"ISCO-88_ILO","1314","General managers in wholesale and retail trade",40
"ISCO-88_ILO","1315","General managers of restaurants and hotels",41
"ISCO-88_ILO","1316","General managers in transport, storage and communications",42
"ISCO-88_ILO","1317","General managers of business services",43
"ISCO-88_ILO","1318","General managers in personal care, cleaning and related services",44
"ISCO-88_ILO","1319","General managers not elsewhere classified",45
"ISCO-88_ILO","2","PROFESSIONALS",46
"ISCO-88_ILO","21","PHYSICAL, MATHEMATICAL AND ENGINEERING SCIENCE PROFESSIONALS",47
"ISCO-88_ILO","211","PHYSICISTS, CHEMISTS AND RELATED PROFESSIONALS",48
"ISCO-88_ILO","2111","Physicists and astronomers",49
"ISCO-88_ILO","2112","Meteorologists",50
"ISCO-88_ILO","2113","Chemists",51
"ISCO-88_ILO","2114","Geologists and geophysicists",52
"ISCO-88_ILO","212","MATHEMATICIANS, STATISTICIANS AND RELATED PROFESSIONALS",53
"ISCO-88_ILO","2121","Mathematicians and related professionals",54
"ISCO-88_ILO","2122","Statisticians",55
"ISCO-88_ILO","213","COMPUTING PROFESSIONALS",56
"ISCO-88_ILO","2131","Computer systems designers and analysts",57
"ISCO-88_ILO","2132","Computer programmers",58
"ISCO-88_ILO","2139","Computing professionals not elsewhere classified",59
"ISCO-88_ILO","214","ARCHITECTS, ENGINEERS AND RELATED PROFESSIONALS",60
"ISCO-88_ILO","2141","Architects, town and traffic planners",61
"ISCO-88_ILO","2142","Civil engineers",62
"ISCO-88_ILO","2143","Electrical engineers",63
"ISCO-88_ILO","2144","Electronics and telecommunications engineers",64
"ISCO-88_ILO","2145","Mechanical engineers",65
"ISCO-88_ILO","2146","Chemical engineers",66
"ISCO-88_ILO","2147","Mining engineers, metallurgists and related professionals",67
"ISCO-88_ILO","2148","Cartographers and surveyors",68
"ISCO-88_ILO","2149","Architects, engineers and related professionals not elsewhere classified",69
"ISCO-88_ILO","22","LIFE SCIENCE AND HEALTH PROFESSIONALS",70
"ISCO-88_ILO","221","LIFE SCIENCE PROFESSIONALS",71
"ISCO-88_ILO","2211","Biologists, botanists, zoologists and related professionals",72
"ISCO-88_ILO","2212","Pharmacologists, pathologists and related professionals",73
"ISCO-88_ILO","2213","Agronomists and related professionals",74
"ISCO-88_ILO","222","HEALTH PROFESSIONALS (except nursing)",75
"ISCO-88_ILO","2221","Medical doctors",76
"ISCO-88_ILO","2222","Dentists",77
"ISCO-88_ILO","2223","Veterinarians",78
"ISCO-88_ILO","2224","Pharmacists",79
"ISCO-88_ILO","2229","Health professionals (except nursing) not elsewhere classified",80
"ISCO-88_ILO","223","NURSING AND MIDWIFERY PROFESSIONALS",81
"ISCO-88_ILO","2230","Nursing and midwifery professionals",82
"ISCO-88_ILO","23","TEACHING PROFESSIONALS",83
"ISCO-88_ILO","231","COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS",84
"ISCO-88_ILO","2310","College, university and higher education teaching professionals",85
"ISCO-88_ILO","232","SECONDARY EDUCATION TEACHING PROFESSIONALS",86
"ISCO-88_ILO","2320","Secondary education teaching professionals",87
"ISCO-88_ILO","233","PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS",88
"ISCO-88_ILO","2331","Primary education teaching professionals",89
"ISCO-88_ILO","2332","Pre-primary education teaching professionals",90
"ISCO-88_ILO","234","SPECIAL EDUCATION TEACHING PROFESSIONALS",91
"ISCO-88_ILO","2340","Special education teaching professionals",92
"ISCO-88_ILO","235","OTHER TEACHING PROFESSIONALS",93
"ISCO-88_ILO","2351","Education methods specialists",94
"ISCO-88_ILO","2352","School inspectors",95
"ISCO-88_ILO","2359","Other teaching professionals not elsewhere classified",96
"ISCO-88_ILO","24","OTHER PROFESSIONALS",97
"ISCO-88_ILO","241","BUSINESS PROFESSIONALS",98
"ISCO-88_ILO","2411","Accountants",99
"ISCO-88_ILO","2412","Personnel and careers professionals",100
"ISCO-88_ILO","2419","Business professionals not elsewhere classified",101
"ISCO-88_ILO","242","LEGAL PROFESSIONALS",102
"ISCO-88_ILO","2421","Lawyers",103
"ISCO-88_ILO","2422","Judges",104
"ISCO-88_ILO","2429","Legal professionals not elsewhere classified",105
"ISCO-88_ILO","243","ARCHIVISTS, LIBRARIANS AND RELATED INFORMATION PROFESSIONALS",106
"ISCO-88_ILO","2431","Archivists and curators",107
"ISCO-88_ILO","2432","Librarians and related information professionals",108
"ISCO-88_ILO","244","SOCIAL SCIENCE AND RELATED PROFESSIONALS",109
"ISCO-88_ILO","2441","Economists",110
"ISCO-88_ILO","2442","Sociologists, anthropologists and related professionals",111
"ISCO-88_ILO","2443","Philosophers, historians and political scientists",112
"ISCO-88_ILO","2444","Philologists, translators and interpreters",113
"ISCO-88_ILO","2445","Psychologists",114
"ISCO-88_ILO","2446","Social work professionals",115
"ISCO-88_ILO","245","WRITERS AND CREATIVE OR PERFORMING ARTISTS",116
"ISCO-88_ILO","2451","Authors, journalists and other writers",117
"ISCO-88_ILO","2452","Sculptors, painters and related artists",118
"ISCO-88_ILO","2453","Composers, musicians and singers",119
"ISCO-88_ILO","2454","Choreographers and dancers",120
"ISCO-88_ILO","2455","Film, stage and related actors and directors",121
"ISCO-88_ILO","246","RELIGIOUS PROFESSIONALS",122
"ISCO-88_ILO","2460","Religious professionals",123
"ISCO-88_ILO","3","TECHNICIANS AND ASSOCIATE PROFESSIONALS",124
"ISCO-88_ILO","31","PHYSICAL AND ENGINEERING SCIENCE ASSOCIATE PROFESSIONALS",125
"ISCO-88_ILO","311","PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS",126
"ISCO-88_ILO","3111","Chemical and physical science technicians",127
"ISCO-88_ILO","3112","Civil engineering technicians",128
"ISCO-88_ILO","3113","Electrical engineering technicians",129
"ISCO-88_ILO","3114","Electronics and telecommunications engineering technicians",130
"ISCO-88_ILO","3115","Mechanical engineering technicians",131
"ISCO-88_ILO","3116","Chemical engineering technicians",132
"ISCO-88_ILO","3117","Mining and metallurgical technicians",133
"ISCO-88_ILO","3118","Draughtspersons",134
"ISCO-88_ILO","3119","Physical and engineering science technicians not elsewhere classified",135
"ISCO-88_ILO","312","COMPUTER ASSOCIATE PROFESSIONALS",136
"ISCO-88_ILO","3121","Computer assistants",137
"ISCO-88_ILO","3122","Computer equipment operators",138
"ISCO-88_ILO","3123","Industrial robot controllers",139
"ISCO-88_ILO","313","OPTICAL AND ELECTRONIC EQUIPMENT OPERATORS",140
"ISCO-88_ILO","3131","Photographers and image and sound recording equipment operators",141
"ISCO-88_ILO","3132","Broadcasting and telecommunications equipment operators",142
"ISCO-88_ILO","3133","Medical equipment operators",143
"ISCO-88_ILO","3139","Optical and electronic equipment operators not elsewhere classified",144
"ISCO-88_ILO","314","SHIP AND AIRCRAFT CONTROLLERS AND TECHNICIANS",145
"ISCO-88_ILO","3141","Ships' engineers",146
"ISCO-88_ILO","3142","Ships' deck officers and pilots",147
"ISCO-88_ILO","3143","Aircraft pilots and related associate professionals",148
"ISCO-88_ILO","3144","Air traffic controllers",149
"ISCO-88_ILO","3145","Air traffic safety technicians",150
"ISCO-88_ILO","315","SAFETY AND QUALITY INSPECTORS",151
"ISCO-88_ILO","3151","Building and fire inspectors",152
"ISCO-88_ILO","3152","Safety, health and quality inspectors",153
"ISCO-88_ILO","32","LIFE SCIENCE AND HEALTH ASSOCIATE PROFESSIONALS",154
"ISCO-88_ILO","321","LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS",155
"ISCO-88_ILO","3211","Life science technicians",156
"ISCO-88_ILO","3212","Agronomy and forestry technicians",157
"ISCO-88_ILO","3213","Farming and forestry advisers",158
"ISCO-88_ILO","322","MODERN HEALTH ASSOCIATE PROFESSIONALS (except nursing)",159
"ISCO-88_ILO","3221","Medical assistants",160
"ISCO-88_ILO","3222","Sanitarians",161
"ISCO-88_ILO","3223","Dieticians and nutritionists",162
"ISCO-88_ILO","3224","Optometrists and opticians",163
"ISCO-88_ILO","3225","Dental assistants",164
"ISCO-88_ILO","3226","Physiotherapists and related associate professionals",165
"ISCO-88_ILO","3227","Veterinary assistants",166
"ISCO-88_ILO","3228","Pharmaceutical assistants",167
"ISCO-88_ILO","3229","Modern health associate professionals (except nursing) not elsewhere classified",168
"ISCO-88_ILO","323","NURSING AND MIDWIFERY ASSOCIATE PROFESSIONALS",169
"ISCO-88_ILO","3231","Nursing associate professionals",170
"ISCO-88_ILO","3232","Midwifery associate professionals",171
"ISCO-88_ILO","324","TRADITIONAL MEDICINE PRACTITIONERS AND FAITH HEALERS",172
"ISCO-88_ILO","3241","Traditional medicine practitioners",173
"ISCO-88_ILO","3242","Faith healers",174
"ISCO-88_ILO","33","TEACHING ASSOCIATE PROFESSIONALS",175
"ISCO-88_ILO","331","PRIMARY EDUCATION TEACHING ASSOCIATE PROFESSIONALS",176
"ISCO-88_ILO","3310","Primary education teaching associate professionals",177
"ISCO-88_ILO","332","PRE-PRIMARY EDUCATION TEACHING ASSOCIATE PROFESSIONALS",178
"ISCO-88_ILO","3320","Pre-primary education teaching associate professionals",179
"ISCO-88_ILO","333","SPECIAL EDUCATION TEACHING ASSOCIATE PROFESSIONALS",180
"ISCO-88_ILO","3330","Special education teaching associate professionals",181
"ISCO-88_ILO","334","OTHER TEACHING ASSOCIATE PROFESSIONALS",182
"ISCO-88_ILO","3340","Other teaching associate professionals",183
"ISCO-88_ILO","34","OTHER ASSOCIATE PROFESSIONALS",184
"ISCO-88_ILO","341","FINANCE AND SALES ASSOCIATE PROFESSIONALS",185
"ISCO-88_ILO","3411","Securities and finance dealers and brokers",186
"ISCO-88_ILO","3412","Insurance representatives",187
"ISCO-88_ILO","3413","Estate agents",188
"ISCO-88_ILO","3414","Travel consultants and organisers",189
"ISCO-88_ILO","3415","Technical and commercial sales representatives",190
"ISCO-88_ILO","3416","Buyers",191
"ISCO-88_ILO","3417","Appraisers, valuers and auctioneers",192
"ISCO-88_ILO","3419","Finance and sales associate professionals not elsewhere classified",193
"ISCO-88_ILO","342","BUSINESS SERVICES AGENTS AND TRADE BROKERS",194
"ISCO-88_ILO","3421","Trade brokers",195
"ISCO-88_ILO","3422","Clearing and forwarding agents",196
"ISCO-88_ILO","3423","Employment agents and labour contractors",197
"ISCO-88_ILO","3429","Business services agents and trade brokers not elsewhere classified",198
"ISCO-88_ILO","343","ADMINISTRATIVE ASSOCIATE PROFESSIONALS",199
"ISCO-88_ILO","3431","Administrative secretaries and related associate professionals",200
"ISCO-88_ILO","3432","Legal and related business associate professionals",201
"ISCO-88_ILO","3433","Bookkeepers",202
"ISCO-88_ILO","3434","Statistical, mathematical and related associate professionals",203
