"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-88_Kantar","11","ISCO-88_Ganzeboom","1100","1",
"ISCO-88_Kantar","12","ISCO-88_Ganzeboom","1200","1",
"ISCO-88_Kantar","13","ISCO-88_Ganzeboom","1300","1",
"ISCO-88_Kantar","21","ISCO-88_Ganzeboom","2100","1",
"ISCO-88_Kantar","22","ISCO-88_Ganzeboom","2200","1",
"ISCO-88_Kantar","23","ISCO-88_Ganzeboom","2300","1",
"ISCO-88_Kantar","24","ISCO-88_Ganzeboom","2400","1",
"ISCO-88_Kantar","31","ISCO-88_Ganzeboom","3100","1",
"ISCO-88_Kantar","32","ISCO-88_Ganzeboom","3200","1",
"ISCO-88_Kantar","33","ISCO-88_Ganzeboom","3300","1",
"ISCO-88_Kantar","34","ISCO-88_Ganzeboom","3400","1",
"ISCO-88_Kantar","41","ISCO-88_Ganzeboom","4100","1",
"ISCO-88_Kantar","42","ISCO-88_Ganzeboom","4200","1",
"ISCO-88_Kantar","51","ISCO-88_Ganzeboom","5100","1",
"ISCO-88_Kantar","52","ISCO-88_Ganzeboom","5200","1",
"ISCO-88_Kantar","61","ISCO-88_Ganzeboom","6100","1",
"ISCO-88_Kantar","71","ISCO-88_Ganzeboom","7100","1",
"ISCO-88_Kantar","72","ISCO-88_Ganzeboom","7200","1",
"ISCO-88_Kantar","73","ISCO-88_Ganzeboom","7300","1",
"ISCO-88_Kantar","74","ISCO-88_Ganzeboom","7400","1",
"ISCO-88_Kantar","81","ISCO-88_Ganzeboom","8100","1",
"ISCO-88_Kantar","82","ISCO-88_Ganzeboom","8200","1",
"ISCO-88_Kantar","83","ISCO-88_Ganzeboom","8300","1",
"ISCO-88_Kantar","91","ISCO-88_Ganzeboom","9100","1",
"ISCO-88_Kantar","92","ISCO-88_Ganzeboom","9200","1",
"ISCO-88_Kantar","93","ISCO-88_Ganzeboom","9300","1",
"ISCO-88_Kantar","110","ISCO-88_Ganzeboom","110","1",
"ISCO-88_Kantar","111","ISCO-88_Ganzeboom","1110","1",
"ISCO-88_Kantar","114","ISCO-88_Ganzeboom","1140","1",
"ISCO-88_Kantar","121","ISCO-88_Ganzeboom","1210","1",
"ISCO-88_Kantar","122","ISCO-88_Ganzeboom","1220","1",
"ISCO-88_Kantar","123","ISCO-88_Ganzeboom","1230","1",
"ISCO-88_Kantar","131","ISCO-88_Ganzeboom","1310","1",
"ISCO-88_Kantar","211","ISCO-88_Ganzeboom","2110","1",
"ISCO-88_Kantar","212","ISCO-88_Ganzeboom","2120","1",
"ISCO-88_Kantar","213","ISCO-88_Ganzeboom","2130","1",
"ISCO-88_Kantar","214","ISCO-88_Ganzeboom","2140","1",
"ISCO-88_Kantar","221","ISCO-88_Ganzeboom","2210","1",
