"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISEI","default","10",,1,10
"ISEI","default","11",,2,11
"ISEI","default","12",,3,12
"ISEI","default","13",,4,13
"ISEI","default","14",,5,14
"ISEI","default","15",,6,15
"ISEI","default","16",,7,16
"ISEI","default","17",,8,17
"ISEI","default","18",,9,18
"ISEI","default","19",,10,19
"ISEI","default","20",,11,20
"ISEI","default","21",,12,21
"ISEI","default","22",,13,22
"ISEI","default","23",,14,23
"ISEI","default","24",,15,24
"ISEI","default","25",,16,25
"ISEI","default","26",,17,26
"ISEI","default","27",,18,27
"ISEI","default","28",,19,28
"ISEI","default","29",,20,29
"ISEI","default","30",,21,30
"ISEI","default","31",,22,31
"ISEI","default","32",,23,32
"ISEI","default","33",,24,33
"ISEI","default","34",,25,34
"ISEI","default","35",,26,35
"ISEI","default","36",,27,36
"ISEI","default","37",,28,37
"ISEI","default","38",,29,38
"ISEI","default","39",,30,39
"ISEI","default","40",,31,40
"ISEI","default","41",,32,41
"ISEI","default","42",,33,42
"ISEI","default","43",,34,43
"ISEI","default","44",,35,44
"ISEI","default","45",,36,45
"ISEI","default","46",,37,46
"ISEI","default","47",,38,47
"ISEI","default","48",,39,48
"ISEI","default","49",,40,49
"ISEI","default","50",,41,50
"ISEI","default","51",,42,51
"ISEI","default","52",,43,52
"ISEI","default","53",,44,53
"ISEI","default","54",,45,54
"ISEI","default","55",,46,55
"ISEI","default","56",,47,56
"ISEI","default","57",,48,57
"ISEI","default","58",,49,58
"ISEI","default","59",,50,59
"ISEI","default","60",,51,60
"ISEI","default","61",,52,61
"ISEI","default","62",,53,62
"ISEI","default","63",,54,63
"ISEI","default","64",,55,64
"ISEI","default","65",,56,65
"ISEI","default","66",,57,66
"ISEI","default","67",,58,67
"ISEI","default","68",,59,68
"ISEI","default","69",,60,69
"ISEI","default","70",,61,70
"ISEI","default","71",,62,71
"ISEI","default","72",,63,72
"ISEI","default","73",,64,73
"ISEI","default","74",,65,74
"ISEI","default","75",,66,75
"ISEI","default","76",,67,76
"ISEI","default","77",,68,77
"ISEI","default","78",,69,78
"ISEI","default","79",,70,79
"ISEI","default","80",,71,80
"ISEI","default","81",,72,81
"ISEI","default","82",,73,82
"ISEI","default","83",,74,83
"ISEI","default","84",,75,84
"ISEI","default","85",,76,85
"ISEI","default","86",,77,86
"ISEI","default","87",,78,87
"ISEI","default","88",,79,88
"ISEI","default","89",,80,89
"ISEI","default","90",,81,90
