sourceConceptScheme,sourceConcept,targetConceptScheme,targetConcept,prob,comment
"KldB2010","01104","ISCO08_ILO","0110",1,""
"KldB2010","01203","ISCO08_ILO","0210",1,""
"KldB2010","01302","ISCO08_ILO","0210",1,""
"KldB2010","01402","ISCO08_ILO","0310",1,""
"KldB2010","11101","ISCO08_ILO","9211",.66666669,""
"KldB2010","11101","ISCO08_ILO","9213",.33333334,""
"KldB2010","11102","ISCO08_ILO","6130",.66666669,""
"KldB2010","11102","ISCO08_ILO","6111",.33333334,""
"KldB2010","11103","ISCO08_ILO","2132",1,""
"KldB2010","11104","ISCO08_ILO","2132",1,""
"KldB2010","11113","ISCO08_ILO","3142",1,""
"KldB2010","11114","ISCO08_ILO","2132",1,""
"KldB2010","11123","ISCO08_ILO","3315",1,""
"KldB2010","11124","ISCO08_ILO","2132",1,""
"KldB2010","11132","ISCO08_ILO","3142",1,""
"KldB2010","11133","ISCO08_ILO","3142",1,""
"KldB2010","11182","ISCO08_ILO","6130",.66666669,""
"KldB2010","11182","ISCO08_ILO","6111",.33333334,""
"KldB2010","11183","ISCO08_ILO","3142",.5,""
"KldB2010","11183","ISCO08_ILO","3339",.25,""
"KldB2010","11183","ISCO08_ILO","3131",.25,""
"KldB2010","11184","ISCO08_ILO","2132",1,""
"KldB2010","11193","ISCO08_ILO","6130",.66666669,""
"KldB2010","11193","ISCO08_ILO","6111",.33333334,""
"KldB2010","11194","ISCO08_ILO","6130",.66666669,""
"KldB2010","11194","ISCO08_ILO","6111",.33333334,""
"KldB2010","11211","ISCO08_ILO","9212",1,""
"KldB2010","11212","ISCO08_ILO","6121",1,""
"KldB2010","11213","ISCO08_ILO","6121",1,""
"KldB2010","11214","ISCO08_ILO","2132",1,""
"KldB2010","11222","ISCO08_ILO","6122",1,""
"KldB2010","11223","ISCO08_ILO","6122",.66666669,""
"KldB2010","11223","ISCO08_ILO","3142",.33333334,""
"KldB2010","11232","ISCO08_ILO","6123",1,""
"KldB2010","11233","ISCO08_ILO","3142",1,""
"KldB2010","11282","ISCO08_ILO","6129",1,""
"KldB2010","11283","ISCO08_ILO","6129",1,""
"KldB2010","11293","ISCO08_ILO","6121",.40000001,""
"KldB2010","11293","ISCO08_ILO","6122",.2,""
"KldB2010","11293","ISCO08_ILO","6123",.2,""
"KldB2010","11293","ISCO08_ILO","6129",.2,""
"KldB2010","11294","ISCO08_ILO","6121",.40000001,""
"KldB2010","11294","ISCO08_ILO","6122",.2,""
"KldB2010","11294","ISCO08_ILO","6123",.2,""
"KldB2010","11294","ISCO08_ILO","6129",.2,""
"KldB2010","11302","ISCO08_ILO","5164",.66666669,""
