sourceConceptScheme,sourceConcept,targetConceptScheme,targetConcept,prob,comment
"KldB88","0110","KldB2010","11102",.5,""
"KldB88","0110","KldB2010","11193",.25,""
"KldB88","0110","KldB2010","11194",.25,""
"KldB88","0111","KldB2010","11104",.66666669,""
"KldB88","0111","KldB2010","11194",.33333334,""
"KldB88","0112","KldB2010","11102",1,""
"KldB88","0113","KldB2010","11212",1,""
"KldB88","0114","KldB2010","12122",1,""
"KldB88","0115","KldB2010","11182",.2857143,""
"KldB88","0115","KldB2010","11183",.14285715,""
"KldB88","0115","KldB2010","11184",.14285715,""
"KldB88","0115","KldB2010","11193",.14285715,""
"KldB88","0115","KldB2010","12142",.14285715,""
"KldB88","0115","KldB2010","12143",.14285715,""
"KldB88","0116","KldB2010","11182",.66666669,""
"KldB88","0116","KldB2010","63394",.33333334,""
"KldB88","0118","KldB2010","11182",.66666669,""
"KldB88","0118","KldB2010","11602",.33333334,""
"KldB88","0119","KldB2010","11182",1,""
"KldB88","0120","KldB2010","11602",.5,""
"KldB88","0120","KldB2010","11693",.25,""
"KldB88","0120","KldB2010","11694",.25,""
"KldB88","0121","KldB2010","11602",1,""
"KldB88","0129","KldB2010","11602",1,""
"KldB88","0210","KldB2010","11212",.5,""
"KldB88","0210","KldB2010","11293",.25,""
"KldB88","0210","KldB2010","11294",.25,""
"KldB88","0211","KldB2010","11212",.5,""
"KldB88","0211","KldB2010","11293",.25,""
"KldB88","0211","KldB2010","11312",.25,""
"KldB88","0212","KldB2010","11212",.66666669,""
"KldB88","0212","KldB2010","11293",.33333334,""
"KldB88","0213","KldB2010","11222",.66666669,""
"KldB88","0213","KldB2010","11293",.33333334,""
"KldB88","0214","KldB2010","11282",.66666669,""
"KldB88","0214","KldB2010","11293",.33333334,""
"KldB88","0215","KldB2010","11412",.40000001,""
"KldB88","0215","KldB2010","11402",.2,""
"KldB88","0215","KldB2010","11422",.2,""
"KldB88","0215","KldB2010","11493",.2,""
"KldB88","0216","KldB2010","11212",.66666669,""
"KldB88","0216","KldB2010","11293",.33333334,""
"KldB88","0217","KldB2010","11211",.66666669,""
"KldB88","0217","KldB2010","11401",.33333334,""
"KldB88","0218","KldB2010","11232",.66666669,""
"KldB88","0218","KldB2010","11293",.33333334,""
"KldB88","0219","KldB2010","11282",1,""
"KldB88","0220","KldB2010","11422",.5,""
"KldB88","0220","KldB2010","11423",.25,""
