"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"KldB92","de","0110","Landwirt(e/innen), allgemein",1,110
"KldB92","de","0111","Obst- und Gemüsebauern/-bäuerinnen (nicht Gärtner/innen)",2,111
"KldB92","de","0112","Ackerbauern/-bäuerinnen für Spezial-, Dauerkulturen",3,112
"KldB92","de","0113","Viehhalter/innen und Grünlandwirt(e/innen)",4,113
"KldB92","de","0114","Saat-, Pflanzenzüchter/innen, Vermehrer/innen (nicht Gärtner/innen)",5,114
"KldB92","de","0115","Pflanzenschützer/innen",6,115
"KldB92","de","0116","Landwirt(e/innen) und Gastwirt(e/innen)/Kaufleute",7,116
"KldB92","de","0118","Landwirt(e/innen) und Winzer/innen",8,118
"KldB92","de","0120","Winzer/innen, allgemein",9,120
"KldB92","de","0121","Rebenveredler/innen",10,121
"KldB92","de","0129","andere Winzer/innen",11,129
"KldB92","de","0130","Landarbeitskräfte, allgemein",12,130
"KldB92","de","0131","Landarbeitsaufseher/innen",13,131
"KldB92","de","0132","Landmaschinenführer/innen",14,132
"KldB92","de","0133","Weinbergsarbeiter/innen",15,133
"KldB92","de","0137","Erntehilfen, Landarbeitshelfer/innen",16,137
"KldB92","de","0139","andere Landarbeitskräfte",17,139
"KldB92","de","0140","Mithelfende Familienangehörige in der Landwirtschaft, a.n.g.",18,140
"KldB92","de","0230","Tierwirt(e/innen) o.n.A.",19,230
"KldB92","de","0231","Tierwirt(e/innen) (Rinderhaltung)",20,231
"KldB92","de","0232","Tierwirt(e/innen) (Schweinehaltung)",21,232
"KldB92","de","0233","Tierwirt(e/innen) (Schafhaltung)",22,233
"KldB92","de","0234","Tierwirt(e/innen) (Geflügelhaltung)",23,234
"KldB92","de","0235","Tierwirt(e/innen) (Bienenhaltung)",24,235
"KldB92","de","0236","Fischwirt(e/innen)",25,236
"KldB92","de","0237","Helfer/innen in der Tierzucht/-haltung",26,237
"KldB92","de","0238","Pferdewirt(e/innen) (Pferdezucht,-haltung)",27,238
"KldB92","de","0239","andere Tierwirt(e/innen)",28,239
"KldB92","de","0240","Tierpfleger/innen, allgemein",29,240
"KldB92","de","0241","Tierpfleger/innen (Haus- und Versuchstierpflege)",30,241
"KldB92","de","0242","Tierpfleger/innen (Zootierpflege)",31,242
"KldB92","de","0243","Aquarien-, Terrarienwärter/innen",32,243
"KldB92","de","0244","Hundepfleger/innen",33,244
"KldB92","de","0245","Tierlehrer/innen (nicht Artisten/Artistinnen)",34,245
"KldB92","de","0246","Tierheilkundige (nicht Tierärzte/-ärztinnen)",35,246
"KldB92","de","0247","Tierpflegehelfer/innen",36,247
"KldB92","de","0249","andere Tierpfleger/innen",37,249
"KldB92","de","0311","Verwalter/innen in der Landwirtschaft",38,311
"KldB92","de","0312","Verwalter/innen im Weinbau",39,312
"KldB92","de","0313","Verwalter/innen in der Tierzucht/-haltung",40,313
"KldB92","de","0320","Diplomlandwirt(e/innen)/Agraringenieur(e/innen) o.n.A.",41,320
"KldB92","de","0321","Diplomlandwirt(e/innen)/Agraringenieur(e/innen), administrativ/beratend tätig",42,321
"KldB92","de","0322","Agrartechniker/innen, administrativ tätig",43,322
"KldB92","de","0323","Agrartechniker/innen, a.n.g.",44,323
"KldB92","de","0324","Weinbauberater/innen, -ingenieur(e/innen), -techniker/innen",45,324
"KldB92","de","0325","Landwirtschaftliche Berater/innen",46,325
"KldB92","de","0326","Tierzuchtberater/innen",47,326
"KldB92","de","0328","Ringberater/innen, -betreuer/innen",48,328
"KldB92","de","0329","andere landwirtschaftliche Berater/innen",49,329
"KldB92","de","0510","Gärtner/innen, allgemein",50,510
"KldB92","de","0511","Landschaftsgärtner/innen",51,511
"KldB92","de","0512","Baumschul(en)gärtner/innen, Veredler/innen",52,512
"KldB92","de","0513","Zierpflanzen-, Staudengärtner/innen",53,513
"KldB92","de","0514","Pflanzenzüchter/innen, Samenbaugärtner/innen",54,514
"KldB92","de","0515","Gemüsegärtner/innen, Pilzanbauer/innen",55,515
"KldB92","de","0516","Obstgärtner/innen",56,516
"KldB92","de","0517","Gartenarbeiter/innen",57,517
"KldB92","de","0518","Friedhofsgärtner/innen",58,518
"KldB92","de","0519","andere Gärtner/innen",59,519
"KldB92","de","0521","Ingenieur(e/innen) für Gartenbau",60,521
"KldB92","de","0522","Ingenieur(e/innen) für Landespflege",61,522
"KldB92","de","0523","Garten- und Landschaftsarchitekt(en/innen)",62,523
"KldB92","de","0524","Techniker/innen für Gartenbau und Landespflege",63,524
"KldB92","de","0525","Berater/innen (Gartenbau und Landespflege)",64,525
"KldB92","de","0529","andere gartenbautechnische Berufe",65,529
"KldB92","de","0530","Florist(en/innen), Blumenbinder/innen, allgemein",66,530
"KldB92","de","0531","Blumenhändler/innen",67,531
"KldB92","de","0532","Kranzbinder/innen",68,532
"KldB92","de","0537","Florist-, Blumenbinderhelfer/innen",69,537
"KldB92","de","0539","andere Florist(en/innen)",70,539
"KldB92","de","0611","Diplomforstwirt(e/innen), höhere Forstbedienstete",71,611
"KldB92","de","0612","Forstingenieur(e/innen), a.n.g.",72,612
"KldB92","de","0613","Revierförster/innen, Forstschützer/innen (gehobener Forstdienst)",73,613
"KldB92","de","0614","Forstassistent(en/innen), Forstwart(e/innen) (mittlerer Forstdienst)",74,614
"KldB92","de","0615","Revierjäger/innen, Wildheger/innen und verwandte Berufe",75,615
"KldB92","de","0616","Natur- und Landschaftspfleger/innen",76,616
"KldB92","de","0619","andere Forstberufe",77,619
"KldB92","de","0621","Forstwirt(e/innen) (Waldfacharbeiter/innen), allgemein",78,621
"KldB92","de","0622","Holzerntearbeiter/innen, Holzrücker/innen",79,622
"KldB92","de","0623","Forst- und Waldkulturarbeiter/innen",80,623
"KldB92","de","0627","Forsthilfsarbeiter/innen",81,627
