"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"SIOPS","default","6",,1,6
"SIOPS","default","7",,2,7
"SIOPS","default","8",,3,8
"SIOPS","default","9",,4,9
"SIOPS","default","10",,5,10
"SIOPS","default","11",,6,11
"SIOPS","default","12",,7,12
"SIOPS","default","13",,8,13
"SIOPS","default","14",,9,14
"SIOPS","default","15",,10,15
"SIOPS","default","16",,11,16
"SIOPS","default","17",,12,17
"SIOPS","default","18",,13,18
"SIOPS","default","19",,14,19
"SIOPS","default","20",,15,20
"SIOPS","default","21",,16,21
"SIOPS","default","22",,17,22
"SIOPS","default","23",,18,23
"SIOPS","default","24",,19,24
"SIOPS","default","25",,20,25
"SIOPS","default","26",,21,26
"SIOPS","default","27",,22,27
"SIOPS","default","28",,23,28
"SIOPS","default","29",,24,29
"SIOPS","default","30",,25,30
"SIOPS","default","31",,26,31
"SIOPS","default","32",,27,32
"SIOPS","default","33",,28,33
"SIOPS","default","34",,29,34
"SIOPS","default","35",,30,35
"SIOPS","default","36",,31,36
"SIOPS","default","37",,32,37
"SIOPS","default","38",,33,38
"SIOPS","default","39",,34,39
"SIOPS","default","40",,35,40
"SIOPS","default","41",,36,41
"SIOPS","default","42",,37,42
"SIOPS","default","43",,38,43
"SIOPS","default","44",,39,44
"SIOPS","default","45",,40,45
"SIOPS","default","46",,41,46
"SIOPS","default","47",,42,47
"SIOPS","default","48",,43,48
"SIOPS","default","49",,44,49
"SIOPS","default","50",,45,50
"SIOPS","default","51",,46,51
"SIOPS","default","52",,47,52
"SIOPS","default","53",,48,53
"SIOPS","default","54",,49,54
"SIOPS","default","55",,50,55
"SIOPS","default","56",,51,56
"SIOPS","default","57",,52,57
"SIOPS","default","58",,53,58
"SIOPS","default","59",,54,59
"SIOPS","default","60",,55,60
"SIOPS","default","61",,56,61
"SIOPS","default","62",,57,62
"SIOPS","default","63",,58,63
"SIOPS","default","64",,59,64
"SIOPS","default","65",,60,65
"SIOPS","default","66",,61,66
"SIOPS","default","67",,62,67
"SIOPS","default","68",,63,68
"SIOPS","default","69",,64,69
"SIOPS","default","70",,65,70
"SIOPS","default","71",,66,71
"SIOPS","default","72",,67,72
"SIOPS","default","73",,68,73
"SIOPS","default","74",,69,74
"SIOPS","default","75",,70,75
"SIOPS","default","76",,71,76
"SIOPS","default","77",,72,77
"SIOPS","default","78",,73,78
